gene_id,log2FoldChange,padj
AT1G01010,0.0914673532620637,1
AT1G01020,-0.324873597898515,1
AT1G01030,0.0391722018712701,1
AT1G01040,0.0174015209158349,1
AT1G01046,1.74550646603044,1
AT1G01050,-0.156794227270818,1
AT1G01060,-0.654152552622078,0.875710517225435
AT1G01070,0.0783401884544795,1
AT1G01080,-0.0958577716163754,1
AT1G01090,-0.0488008986456797,1
AT1G01100,-0.0854907584155717,1
AT1G01110,0.123379988798204,1
AT1G01120,0.435421928726913,1
AT1G01130,0.509224833461203,1
AT1G01140,0.163569343693833,1
AT1G01150,1.97080813023185,NA
AT1G01160,0.0685182187405967,1
AT1G01170,0.00419542845467664,1
AT1G01180,-0.0663354521369523,1
AT1G01190,0.343664833463348,1
AT1G01200,0.256956173837616,1
AT1G01210,0.0729682001965151,1
AT1G01220,0.0435548064568749,1
AT1G01225,-0.0960920424048488,1
AT1G01230,-0.109031895593102,1
AT1G01240,-0.72849243885731,1
AT1G01250,0.763158425200082,1
AT1G01260,-0.138117839631826,1
AT1G01290,-0.445953165416424,1
AT1G01300,0.447275406728474,1
AT1G01320,0.239527539155188,1
AT1G01340,0.28200965945824,1
AT1G01350,-0.0775797949267253,1
AT1G01360,-0.146607882210019,1
AT1G01370,-0.370493191274545,1
AT1G01380,-0.850778861227568,1
AT1G01390,0.531857930901514,1
AT1G01420,0.163477867692846,1
AT1G01430,-0.0529103251811132,1
AT1G01440,0.182733634822399,1
AT1G01448,-0.037359858475858,1
AT1G01450,0.0163008376343565,1
AT1G01453,0.0268472660787325,1
AT1G01470,0.209359965692618,1
AT1G01480,-0.179243808262878,1
AT1G01490,-0.175391293092937,1
AT1G01500,0.268199847008267,1
AT1G01510,0.00184328846678425,1
AT1G01520,-0.453081284327213,1
AT1G01540,0.0408055158539702,1
AT1G01550,0.287177467561489,0.923853136052371
AT1G01560,0.643118973996007,1
AT1G01570,0.20558406238171,1
AT1G01580,-0.0650701422579436,1
AT1G01590,0.00119724123606212,NA
AT1G01600,0.656270458705029,1
AT1G01610,0.174494264751615,1
AT1G01620,-0.22428650203179,1
AT1G01630,-0.112976309559549,1
AT1G01640,-0.399100567031702,1
AT1G01650,-0.0810137506824732,1
AT1G01660,0.651454214593688,1
AT1G01670,-0.0413915004536138,1
AT1G01690,0.28621024205505,1
AT1G01695,-0.616606767598783,NA
