gene_id,log2FoldChange,padj
AT1G01010,-0.0191302138815545,0.965899442051794
AT1G01020,0.25296312773428,0.271384610286021
AT1G01030,0.743010371398572,NA
AT1G01040,0.13848275288381,0.611265012429551
AT1G01046,0.282025153296293,NA
AT1G01050,0.171115943274781,0.226868655717993
AT1G01060,0.403994539987564,0.485071002726796
AT1G01070,0.028668232565496,0.961031701949052
AT1G01080,1.11285200551884,0.118367573729449
AT1G01090,0.200310191468011,0.550493365550214
AT1G01100,-0.206934409268703,0.482946437423953
AT1G01110,-0.287137266150225,0.364956214426005
AT1G01120,-0.306027620561529,0.741050246771189
AT1G01130,-0.327317259446156,0.712591357073709
AT1G01140,0.396822613596093,0.305187489421856
AT1G01150,-0.349926624369185,NA
AT1G01160,0.0010268996408858,0.998746394316826
AT1G01170,0.487193296437935,0.219958680219008
AT1G01180,0.451971598355313,0.224089358730287
AT1G01190,0.0609088068110751,0.953105951500084
AT1G01200,-0.465371083017707,0.496576637643384
AT1G01210,0.0555683267915327,0.924992724150725
AT1G01220,0.0824634066014301,0.726256677839057
AT1G01225,-0.153517785421949,0.85255059430179
AT1G01230,-0.131920418100233,0.541721445688879
AT1G01240,0.210562094314024,0.681124129041459
AT1G01250,-0.584132060000402,NA
AT1G01260,-0.165633168646348,0.53868971021797
AT1G01290,0.022796162545214,0.958667895700088
AT1G01300,-0.417831598495231,0.232505702706234
AT1G01310,-0.110178439223465,NA
AT1G01320,0.832720865367129,0.060745370857185
AT1G01340,0.596680533976831,0.331139403818118
AT1G01350,0.0247015680420637,0.967296506953447
AT1G01355,0.000506949252660783,NA
AT1G01360,0.314473819323631,0.556467932738591
AT1G01370,-0.117968497760628,0.869219803225639
AT1G01380,-0.885876310052872,0.43148431835929
AT1G01390,2.05395021431188,0.0630031694989392
AT1G01420,0.66443733576328,0.316272269085082
AT1G01430,0.565306732855877,0.252670162990307
AT1G01440,0.151120807717357,0.659586450550273
AT1G01448,0.355465130947733,0.292543257326393
AT1G01450,-0.423839498233172,NA
AT1G01453,-0.613768312106488,0.551672817221955
AT1G01460,-0.87225880314545,NA
AT1G01470,-0.859880194372072,0.509713614313244
AT1G01480,-0.396562745384704,0.683548561235731
AT1G01490,0.318636684466579,0.376899697083636
AT1G01500,-0.150078903380851,0.752061750662184
AT1G01510,0.0131932214285165,0.959933310607866
AT1G01520,0.108587759010447,0.972937903815648
AT1G01540,0.410686061537428,0.272920814315871
AT1G01550,-0.245234015455259,0.192036545158205
AT1G01560,0.00160440031473972,0.999219865050781
AT1G01570,0.108202807028624,0.885205920649672
AT1G01580,-0.628367843718597,0.598527213364261
AT1G01590,1.02822143328215,NA
AT1G01600,0.0309252097316957,0.983876145353745
AT1G01610,-0.456567666926775,0.492433910935931
AT1G01620,0.353441699161235,0.535316886352003
AT1G01630,-0.287120968598367,0.170902995780851
AT1G01640,-0.128059243311397,0.751053400939035
AT1G01650,0.000978107005708037,0.999007314592026
AT1G01660,-0.653456573488616,0.520529311944995
AT1G01670,0.283301249731272,NA
AT1G01680,-3.09189028401729,NA
AT1G01690,-0.255493818244509,0.604903367441662
AT1G01695,-0.0221910039507414,NA
AT1G01700,-0.0611483855250135,NA
AT1G01710,-0.0229582663887698,0.944357770236964
AT1G01715,0.218179977667777,0.687737061666071
AT1G01720,0.545956956209418,0.377749906435964
AT1G01725,0.0900650806060274,0.897889222309583
AT1G01730,0.0149799690929179,0.961187551151428
AT1G01740,0.160278943109387,0.769474083586811
AT1G01750,-0.899815796920504,0.225938301164439
AT1G01760,0.269438810998857,0.518618632588222
AT1G01770,0.16497561235039,0.697991055698014
AT1G01780,-0.319863775975445,0.301243219363027
AT1G01790,1.26202635040934,0.104249379491186
AT1G01800,-0.0621921406683133,0.762233916724358
AT1G01810,-0.366731474774581,NA
AT1G01820,0.183601961748101,0.52307542669482
AT1G01830,0.139733438408635,0.671588310793187
AT1G01840,0.079367209612973,NA
AT1G01860,0.536747631936174,0.110369280843363
AT1G01880,0.786746425169916,NA
AT1G01900,1.05968602637386,0.25943622367178
AT1G01910,-0.0451892153129075,0.817789301170707
AT1G01920,0.0387210052617589,0.922215377068127
AT1G01930,0.304987681633594,0.243186163116601
AT1G01940,-0.198125318498084,0.67113833406366
AT1G01950,-0.160921304658745,0.708533402125458
AT1G01960,0.0495639635022926,0.875873328564055
AT1G01970,1.05671322199527,0.0301839890288536
AT1G01990,0.227178342519082,0.381581232892309
AT1G02000,-0.0479261831573987,0.873084709882294
AT1G02010,0.435369342147286,0.240063124730799
AT1G02020,0.310308300119605,0.199608198405189
AT1G02030,-0.732437823587405,NA
AT1G02040,-1.09843002545637,NA
AT1G02050,0.126194937560832,0.801874514990855
AT1G02060,0.259564738009841,0.57903407424344
AT1G02065,0.990635801039186,NA
AT1G02070,-2.09992027738733,NA
AT1G02080,0.000559434987353818,0.999251485571856
AT1G02090,-0.0864983333191826,0.628665831375316
AT1G02100,0.247339362102931,0.296644372764203
AT1G02110,0.28088231149424,0.383390376532878
AT1G02120,0.160345421229284,0.551596508824407
AT1G02130,0.0172453867437391,0.943294270825193
AT1G02140,-0.126783022125347,0.568806438574088
AT1G02145,0.0634805091466007,0.733984854156226
AT1G02150,0.77526044923609,0.096857899544724
AT1G02160,0.117071176294423,0.580179427389152
AT1G02170,-0.108048492788595,0.571858936463212
AT1G02180,-0.014546640212849,0.985482674642263
AT1G02190,2.41302261493622,NA
AT1G02205,0.0570587076515947,0.976698303498156
AT1G02220,-0.294528161648042,0.529915677680779
AT1G02230,-0.391107577417643,0.499293406504387
AT1G02250,-1.4690378810686,NA
AT1G02260,-0.0299758645495119,0.91940487506903
AT1G02270,-0.46294461892929,0.143073826167759
AT1G02280,0.673512967134012,0.0872465352003946
AT1G02290,0.182633357480087,0.545126002507422
AT1G02300,0.692883609887412,0.237193507670855
AT1G02305,-0.176449422908278,0.534895632123726
AT1G02310,-0.530060099541806,0.548541339802234
AT1G02330,0.141328226951605,0.750352209409235
AT1G02335,-0.35035878088185,0.659586450550273
AT1G02340,0.412545969915928,0.622107824789291
AT1G02350,0.242862697870023,NA
AT1G02360,-0.404503339721229,0.585580850797018
AT1G02370,-0.0771278469336142,0.875705675815127
AT1G02380,0.294515020543992,0.759785932027013
AT1G02390,-0.598627054607989,0.63995724794296
AT1G02400,-0.171097770945027,0.662747002045005
AT1G02405,-1.75297724237968,NA
AT1G02410,0.0138383104875173,0.972171138642288
AT1G02420,0.304433558201932,0.689981737974158
AT1G02430,-0.242065336988577,NA
AT1G02440,-0.275375055907743,NA
AT1G02450,-0.40799105803651,0.678752036715092
AT1G02460,-0.16761761199473,0.900072098016792
AT1G02470,0.126305274254701,0.914736685805733
AT1G02475,0.734491843919496,0.187315476326559
AT1G02500,-0.0145951815505939,0.970545361117489
AT1G02520,-0.0607807537417266,0.918156575538705
AT1G02530,0.0092640967172366,NA
AT1G02560,0.579574738579482,0.107192180826425
AT1G02570,-0.599997743610016,0.501078762824724
AT1G02575,-0.994749217355135,NA
AT1G02580,0.164620872728544,NA
AT1G02610,0.673889505165078,0.0873167701793691
AT1G02620,0.769488710704584,0.238388265275493
AT1G02630,0.335513222496652,NA
AT1G02640,0.472087425682538,0.218628757454577
AT1G02650,-0.206889238349248,0.732952681112259
AT1G02660,0.219288332765363,0.740429838832865
AT1G02670,0.172415536697479,0.831857609680779
AT1G02680,0.245861306356288,0.236151333590936
AT1G02690,-0.310363211489385,0.547933469754536
AT1G02700,-1.43354508155459,0.320008258075861
AT1G02705,0.762004205791823,NA
AT1G02720,-0.0656625562267607,0.892358339173876
AT1G02730,-0.111499531762681,0.926512579960368
AT1G02740,-0.171768367547449,0.585698411967647
AT1G02750,0.253610051112482,0.413405855879015
AT1G02770,0.00216683507173759,0.997506062986472
AT1G02780,-0.133890087207189,0.686084794258885
AT1G02800,1.6539223548302,0.206114275869689
AT1G02810,-1.4832959529176,0.0828310164730388
AT1G02813,-2.68225870879489,NA
AT1G02816,0.0831175012742981,0.752823939226904
AT1G02820,1.11263473054451,NA
AT1G02840,0.23646742740784,0.481665395274019
AT1G02850,-0.0605367350870697,0.932105244791864
AT1G02860,-0.697793534181448,0.0624958577798524
AT1G02870,-0.0935464780632907,0.801381764412031
AT1G02880,-0.317511851023126,0.0611583147432087
AT1G02890,-0.185187870513875,0.752061750662184
AT1G02900,-0.907915358480468,0.0239247486442536
AT1G02910,0.804022006091405,0.0394941664661836
AT1G02920,0.7792629055794,0.485996403099817
AT1G02930,0.24650789835135,0.878513840971713
AT1G02950,-0.467993250993316,0.576766720997808
AT1G02960,0.229113769094716,0.507136108461354
AT1G02970,-0.0761973958371656,0.921671935066366
AT1G02980,-0.987207358936525,NA
AT1G02990,0.0185898819115524,0.960106340386397
AT1G03000,0.385475465786851,0.0707161955255543
AT1G03010,0.0143492324595652,0.991173378532702
AT1G03020,1.23960789124268,NA
AT1G03030,-0.25679181779929,0.360778993451218
AT1G03040,0.0395827351421809,0.873277673821668
AT1G03055,1.60369995260342,0.12922291053051
