gene_id,log2FoldChange,padj
AT1G01010,2.56853916936591,0.000932405750472773
AT1G01020,0.163636954947156,0.595051903439723
AT1G01030,0.0373403580590814,0.943855178223386
AT1G01040,-0.127278121898392,0.771311679727044
AT1G01046,-0.442484972988163,NA
AT1G01050,0.0725779790636435,0.829412460572769
AT1G01060,0.494173736765242,0.878627455900072
AT1G01070,-0.612055964567553,0.723959795333373
AT1G01080,-0.355039084428292,0.734389463647428
AT1G01090,-0.414855562474113,0.38008126144934
AT1G01100,0.207256084555711,0.736226831205448
AT1G01110,-0.6527565217016,0.50757205216829
AT1G01120,-0.196676644321199,0.86581175624741
AT1G01130,0.355867686287945,0.883211510007044
AT1G01140,0.921131337065976,0.210647311566714
AT1G01150,0.0375772041798665,0.993174568617641
AT1G01160,0.495831050388992,0.0236773130112887
AT1G01170,-0.189390602455619,0.667255514270966
AT1G01180,-0.302415079490878,0.663228813879503
AT1G01190,-5.26991339742583,0.101271686158462
AT1G01200,0.973539774649401,0.377720706711657
AT1G01210,0.266371416593878,0.451490830844452
AT1G01220,-0.232981185436335,0.738102554857123
AT1G01225,-0.349854447702608,0.68276759419285
AT1G01230,-0.143046560984627,0.653218286807615
AT1G01240,-0.566916511798147,0.324062138712962
AT1G01250,0.360121396689011,0.88561478901204
AT1G01260,0.0276245768969396,0.947550479703644
AT1G01290,0.0601777479904406,0.925820388671917
AT1G01300,-0.510284447700036,0.47101501017013
AT1G01310,3.41600699191957,0.336183236368674
AT1G01320,-0.133804355756351,0.846616897401277
AT1G01340,0.0639877398788694,0.972702580356049
AT1G01350,0.445018468965703,0.0858419352376563
AT1G01355,2.00598085768158,0.337695385587971
AT1G01360,0.248875848985307,0.855965319722319
AT1G01370,-0.434132999188564,0.638412742754358
AT1G01380,0.780231441378989,0.328095666987091
AT1G01390,-2.40197278937402,0.188625322107509
AT1G01420,-0.0548924564082878,0.971337021698034
AT1G01430,-0.179884135596059,0.818734643379532
AT1G01440,-0.0924719778289728,0.738585384416635
AT1G01448,-0.194288700675125,0.714646900944404
AT1G01450,0.940182006177361,0.687382718851326
AT1G01470,-0.748053196238572,NA
AT1G01480,-1.16002257138167,NA
AT1G01490,0.111970495814949,0.914199887066325
AT1G01500,-0.0945847179614002,0.833249800949009
AT1G01510,-0.0860228585858354,0.692426749885986
AT1G01520,-0.201701237687667,0.946613816598502
AT1G01530,2.26204662227166,NA
AT1G01540,0.0210599658407081,0.965555890888556
AT1G01550,0.0279515518120529,0.971310253507144
AT1G01560,0.638581260654344,0.782160515694224
AT1G01570,-0.199067840830626,0.836581047989975
AT1G01580,-0.745730604774118,0.653518513540013
AT1G01590,1.54386572624756,0.513432827526459
AT1G01600,-1.11597850968134,0.18535207544905
AT1G01610,-0.627944537395049,0.192059870044696
AT1G01620,-0.839070531340423,0.360760560811955
AT1G01630,-0.201632766475531,0.667934384844662
AT1G01640,1.17648533371726,0.369557502548083
AT1G01650,0.137142693282725,0.865177118706923
AT1G01660,0.385155853138403,0.615590849123519
AT1G01670,0.534176054196969,0.505001612164676
AT1G01680,3.104674355525,0.128044331630759
AT1G01690,0.0593965497596662,0.954248206549224
AT1G01695,-0.0772400110230551,0.953509503925522
AT1G01700,-0.738409229374687,0.40867028540116
AT1G01710,0.00241948073224694,0.995975806709098
AT1G01715,-0.192762315804949,0.876320962935393
AT1G01720,0.348498388885414,0.733963348627952
AT1G01725,0.276028264067066,0.74782789386082
AT1G01730,0.455726546211349,0.282923608730349
AT1G01740,-0.273536373006043,0.721748080474338
AT1G01750,-0.508404752803898,0.862646649415129
AT1G01760,-0.305495580276892,0.691452361234831
AT1G01770,0.340947321388471,0.611416120707779
AT1G01780,0.1301819593473,0.846354728708702
AT1G01790,-0.94636266270507,0.0997474551590377
AT1G01800,0.278097822963056,0.514348906056283
AT1G01810,0.420352014315489,0.727256898572389
AT1G01820,0.327526396305979,0.303809658866765
AT1G01830,-0.467596396091292,0.525566426997099
AT1G01840,-0.427835423347231,0.62030118112846
AT1G01860,0.173059291680615,0.804107505420827
AT1G01880,0.0877350171015793,0.915601976466873
AT1G01900,-1.80587248414605,0.00978560667368014
AT1G01910,0.150274787966258,0.79927403889481
AT1G01920,0.149773618946508,0.709472475910701
AT1G01930,0.319848026779277,0.344942405034938
AT1G01940,-0.0386484299258967,0.965708373691199
AT1G01950,0.0252546957550389,0.950213870298588
AT1G01960,-0.306094464449992,0.175988239381365
AT1G01970,-0.419500490373706,0.486855211678585
AT1G01980,1.46595174477227,0.865891304276333
AT1G01990,0.271053860416385,0.22175386292135
AT1G02000,0.23783758557057,0.582502681054345
AT1G02010,0.227941831998417,0.226229903647707
AT1G02020,-0.119787718618894,0.711730873692102
AT1G02030,0.0193489549132641,0.994782869606645
AT1G02050,0.546304807450847,0.217227470521372
AT1G02060,0.804683973513077,0.0051131157396392
AT1G02065,1.01972099379336,0.315236790222954
AT1G02070,2.26104688493279,0.179025476358149
AT1G02080,-0.127730155130839,0.633593296819172
AT1G02090,0.0378724450962049,0.929245911110595
AT1G02100,0.446745667647542,0.119521770854171
AT1G02110,-0.243829890446124,0.749737261788868
AT1G02120,0.0462992626374829,0.942399736774463
AT1G02130,-0.086999126978501,0.602623426811631
AT1G02140,0.109008759307446,0.504888430786557
AT1G02145,-0.0439727322535371,0.905571113505809
AT1G02150,-0.279195238532038,0.752696493136
AT1G02160,0.129049552701824,0.658892924891041
AT1G02170,-0.147212827830169,0.734911491650558
AT1G02180,-0.240186293598522,0.824173584523305
AT1G02190,-2.01503979053237,0.192864285921599
AT1G02205,-0.76029759982286,0.413885945278573
AT1G02220,2.94936722790776,0.13495464347725
AT1G02230,2.8122468806356,0.0856505654012932
AT1G02250,7.08650221525604,NA
AT1G02260,0.0441644413805663,0.928931888724768
AT1G02270,-0.0305021799201431,0.959429371532056
AT1G02280,0.047395511783216,0.963435190714117
AT1G02290,-0.222578650332198,0.669841597056875
AT1G02300,-0.127410667011535,0.854661602674498
AT1G02305,0.235500181539188,0.64202814263497
AT1G02310,0.424422040209964,0.863859501143977
AT1G02330,0.162259561783826,0.621006853611984
AT1G02335,-0.470025981239795,0.599309475331069
AT1G02340,0.102954319677915,0.936371520341971
AT1G02350,-0.867028909466717,0.68406269628953
AT1G02360,2.65600740268853,NA
AT1G02370,-0.0834529353989892,0.918673499495405
AT1G02380,0.42196897608964,0.710980884472056
AT1G02390,-0.563636468409128,0.735480675580269
AT1G02400,2.08425482444762,NA
AT1G02405,-3.00867258957839,0.306044654264039
AT1G02410,0.0551676689431939,0.894331116196474
AT1G02420,-0.106661120092607,0.87697225867162
AT1G02430,2.26935551632385,0.568826067308309
AT1G02440,-0.108606476962588,0.988125518581447
AT1G02450,0.0523447198097726,0.986970589960517
AT1G02460,0.553546270895227,0.580832079512026
AT1G02470,0.474091680266134,0.830265560291344
AT1G02475,0.0633652095493647,0.90831841424163
AT1G02490,0.972599693456132,NA
AT1G02500,0.337650070629009,0.513432827526459
AT1G02520,2.88365612911371,0.0167956901564159
AT1G02530,-0.615092398581136,0.834631886804264
AT1G02540,4.17152707898652,NA
AT1G02560,-0.184516033130464,0.748677273067609
AT1G02580,5.10709511978474,0.0135469586017095
AT1G02610,1.17967161951309,0.293206350033869
AT1G02620,0,1
AT1G02630,-0.123459012445321,0.966531992973191
AT1G02640,-0.996878429652852,0.39100739707926
AT1G02650,-0.18139980458261,0.935305566308066
AT1G02660,-0.251874545327644,0.876316284372733
AT1G02670,-0.226177300860016,0.885794713740905
AT1G02680,0.323207836894129,0.240926709501943
AT1G02690,-0.390713720723622,0.669796503358322
AT1G02700,-2.79022684760703,0.283233581237843
AT1G02705,-1.1363624230079,0.417224636820216
AT1G02720,-0.171109902513705,0.800418535605969
AT1G02730,-0.618047101979584,0.644268265848458
AT1G02740,0.163865589396693,0.741768061385772
AT1G02750,0.430294722834332,0.271886523103141
AT1G02770,0.945490196538556,0.389917715879551
AT1G02780,0.203412355674509,0.701652566280466
AT1G02790,3.42550230045017,0.311687681088575
AT1G02800,-1.0238222593926,0.404913406981869
AT1G02810,-0.116818481012006,0.967396055939787
AT1G02816,0.155265744785978,0.82097257051139
AT1G02820,0.477354701618577,0.760774981764544
AT1G02840,0.111863554184097,0.782289228445157
AT1G02850,1.2526422127276,0.467608614892128
AT1G02860,0.0635969815820123,0.949318409919147
AT1G02870,0.0409572090085359,0.960187544160281
AT1G02880,0.12517300008676,0.878627455900072
AT1G02890,-0.153382076290206,0.498798252383472
AT1G02900,-0.474234893152331,0.742899656316439
AT1G02910,-0.0467936662928664,0.947367835293659
AT1G02920,2.05628971964071,0.237920639526024
AT1G02930,-0.947661466996167,0.642564483567833
AT1G02940,-0.118539537184466,0.966006016648474
AT1G02950,-0.41807523473474,0.675043463705497
AT1G02960,0.0238399305787181,0.947550479703644
AT1G02970,0.219179439537937,0.896867182285144
AT1G02980,-1.44675823111491,NA
AT1G02990,-0.0163116751219054,0.971645645950049
