locus	compartment	location
AT1G72520	Chloroplast	Plastid, chloroplast
AT1G72680	Other / unknown	
AT1G72770	Cytoplasm	Cytoplasm
AT1G73000	Cytoplasm	Cytoplasm
AT1G73370	Cell wall / apoplast	Secreted, cell wall
AT1G73630	Other / unknown	
AT1G73680	Other / unknown	
AT1G74030	Chloroplast	Plastid, chloroplast
AT1G74550	Membrane	Membrane
AT1G74590	Cytoplasm	Cytoplasm, cytosol
AT1G74740	Membrane	Membrane
AT1G74890	Nucleus	Nucleus
AT1G74950	Nucleus	Nucleus
AT1G75270	Cytoplasm	Cytoplasm, cytosol
AT1G75450	Cell wall / apoplast	Secreted, extracellular space
AT1G75580	Plasma membrane	Cell membrane
AT1G75590	Other / unknown	
AT1G76040	Membrane	Membrane
AT1G76100	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G76130	Cytoplasm	Cytoplasm, cytosol
AT1G76190	Other / unknown	
AT1G76570	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G76640	Other / unknown	
AT1G76650	Other / unknown	
AT1G76680	Cytoplasm	Cytoplasm
AT1G76690	Cytoplasm	Cytoplasm
AT1G77120	Cytoplasm	Cytoplasm
AT1G77490	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G77690	Plasma membrane	Cell membrane
AT1G77850	Nucleus	Nucleus
AT1G77920	Nucleus	Nucleus
AT1G78050	Chloroplast	Plastid, chloroplast
AT1G78090	Other / unknown	
AT1G78270	Other / unknown	
AT1G78290	Other / unknown	
AT1G78320	Cytoplasm	Cytoplasm, cytosol
AT1G78340	Cytoplasm	Cytoplasm, cytosol
AT1G78360	Cytoplasm	Cytoplasm, cytosol
AT1G78370	Nucleus	Nucleus
AT1G78380	Cytoplasm	Cytoplasm, cytosol
AT1G78580	Vacuole	Vacuole
AT1G79040	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G79130	Cytoplasm	Cytoplasm
AT1G79530	Chloroplast	Plastid, chloroplast stroma
AT1G80100	Cytoplasm	Cytoplasm, cytosol
AT1G80660	Membrane	Membrane
AT1G80820	Other / unknown	
AT2G01140	Chloroplast	Plastid, chloroplast, plastoglobule
AT2G01200	Nucleus	Nucleus
AT2G01290	Cytoplasm	Cytoplasm
AT2G01630	Plasma membrane	Cell membrane
AT2G01760	Nucleus	Nucleus
AT2G01820	Membrane	Membrane
AT2G01830	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT2G02930	Cytoplasm	Cytoplasm, cytosol
AT2G04030	Chloroplast	Plastid, chloroplast stroma
AT2G04880	Nucleus	Nucleus
AT2G05070	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G05100	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G06050	Peroxisome	Peroxisome
AT2G06925	Cell wall / apoplast	Secreted
AT2G07707	Mitochondrion	Mitochondrion membrane
AT2G13790	Plasma membrane	Cell membrane
AT2G14580	Other / unknown	
AT2G14610	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT2G14960	Other / unknown	
AT2G15090	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT2G15680	Other / unknown	
AT2G16280	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT2G16580	Plasma membrane	Cell membrane
AT2G17290	Plasma membrane	Cell membrane
AT2G17770	Nucleus	Nucleus
AT2G17890	Plasma membrane	Cell membrane
AT2G18010	Plasma membrane	Cell membrane
AT2G18140	Cell wall / apoplast	Secreted
AT2G18150	Cell wall / apoplast	Secreted
AT2G18700	Other / unknown	
AT2G18790	Cytoplasm	Cytoplasm
AT2G18960	Plasma membrane	Cell membrane
AT2G18980	Cell wall / apoplast	Secreted
AT2G19190	Membrane	Membrane
AT2G19860	Mitochondrion	Mitochondrion outer membrane
AT2G19900	Cytoplasm	Cytoplasm
AT2G19990	Other / unknown	
AT2G20180	Nucleus	Nucleus
AT2G20260	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G20340	Other / unknown	
AT2G21050	Plasma membrane	Cell membrane
AT2G21170	Chloroplast	Plastid, chloroplast
AT2G21200	Other / unknown	
AT2G21210	Other / unknown	
AT2G21220	Plasma membrane	Cell membrane
AT2G21330	Chloroplast	Plastid, chloroplast, plastoglobule
AT2G21590	Chloroplast	Plastid, chloroplast
AT2G21730	Other / unknown	
AT2G21790	Cytoplasm	Cytoplasm
AT2G21890	Other / unknown	
AT2G22190	Other / unknown	
AT2G22250	Chloroplast	Plastid, chloroplast
AT2G22420	Cell wall / apoplast	Secreted
AT2G22860	Cell wall / apoplast	Secreted
AT2G22990	Vacuole	Vacuole
AT2G23030	Other / unknown	
AT2G23170	Other / unknown	
AT2G23980	Plasma membrane	Cell membrane
AT2G24270	Cytoplasm	Cytoplasm
AT2G24400	Other / unknown	
AT2G24610	Plasma membrane	Cell membrane
AT2G24800	Cell wall / apoplast	Secreted
AT2G24850	Other / unknown	
AT2G25080	Chloroplast	Plastid, chloroplast
AT2G25490	Nucleus	Nucleus
AT2G26040	Cytoplasm	Cytoplasm
AT2G26250	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT2G26640	Membrane	Membrane
AT2G27050	Nucleus	Nucleus
AT2G27480	Other / unknown	
AT2G27510	Chloroplast	Plastid, chloroplast
AT2G28085	Other / unknown	
AT2G28260	Plasma membrane	Cell membrane
AT2G28630	Endoplasmic reticulum	Endoplasmic reticulum
AT2G29380	Other / unknown	
AT2G29420	Cytoplasm	Cytoplasm, cytosol
AT2G29440	Cytoplasm	Cytoplasm, cytosol
AT2G29450	Cytoplasm	Cytoplasm, cytosol
AT2G29460	Cytoplasm	Cytoplasm, cytosol
AT2G29470	Cytoplasm	Cytoplasm, cytosol
AT2G29480	Cytoplasm	Cytoplasm, cytosol
AT2G29490	Cytoplasm	Cytoplasm, cytosol
AT2G30250	Nucleus	Nucleus
AT2G30490	Membrane	Membrane
AT2G30570	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G30740	Plasma membrane	Cell membrane
AT2G30790	Other / unknown	
AT2G30870	Cytoplasm	Cytoplasm, cytosol
AT2G31390	Other / unknown	
AT2G31500	Membrane	Membrane
AT2G31570	Cytoplasm	Cytoplasm, cytosol
AT2G32290	Cytoplasm	Cytoplasm
AT2G32860	Other / unknown	
AT2G33150	Peroxisome	Peroxisome
AT2G33230	Other / unknown	
AT2G33310	Nucleus	Nucleus
AT2G34060	Cell wall / apoplast	Secreted
AT2G34420	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G34430	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G34590	Chloroplast	Plastid, chloroplast
AT2G34790	Cell wall / apoplast	Secreted, cell wall
AT2G34930	Plasma membrane	Cell membrane
AT2G35380	Cell wall / apoplast	Secreted
AT2G35840	Other / unknown	
AT2G35890	Membrane	Membrane
AT2G36190	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT2G36210	Other / unknown	
AT2G36270	Nucleus	Nucleus
AT2G36460	Cytoplasm	Cytoplasm, cytosol
AT2G36580	Other / unknown	
AT2G36750	Other / unknown	
AT2G36770	Other / unknown	
AT2G36780	Other / unknown	
AT2G36800	Membrane	Membrane
AT2G37030	Other / unknown	
AT2G37040	Cytoplasm	Cytoplasm
AT2G37130	Cell wall / apoplast	Secreted
AT2G37790	Other / unknown	
AT2G38120	Plasma membrane	Cell membrane
AT2G38310	Cytoplasm	Cytoplasm
AT2G38380	Cell wall / apoplast	Secreted
AT2G38390	Cell wall / apoplast	Secreted
AT2G38470	Nucleus	Nucleus
AT2G39040	Cell wall / apoplast	Secreted
AT2G39420	Other / unknown	
AT2G39930	Chloroplast	Plastid, chloroplast
AT2G40100	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G40330	Cytoplasm	Cytoplasm
AT2G40670	Nucleus	Nucleus
AT2G40840	Cytoplasm	Cytoplasm, cytosol
AT2G40890	Membrane	Membrane
AT2G40940	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT2G41070	Nucleus	Nucleus
AT2G41090	Other / unknown	
AT2G41100	Other / unknown	
AT2G41110	Cytoplasm	Cytoplasm, cytoskeleton
AT2G41140	Membrane	Membrane
AT2G41310	Nucleus	Nucleus
AT2G41370	Cytoplasm	Cytoplasm
AT2G41410	Other / unknown	
AT2G41480	Cell wall / apoplast	Secreted
AT2G41510	Vacuole	Vacuole
AT2G42490	Peroxisome	Peroxisome
AT2G42600	Cytoplasm	Cytoplasm
AT2G43010	Nucleus	Nucleus
AT2G43230	Plasma membrane	Cell membrane
AT2G43290	Other / unknown	
AT2G43480	Cell wall / apoplast	Secreted
AT2G44450	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT2G44460	Other / unknown	
AT2G44480	Other / unknown	
AT2G44490	Peroxisome	Peroxisome
AT2G44570	Cell wall / apoplast	Secreted
AT2G45210	Other / unknown	
AT2G45290	Chloroplast	Plastid, chloroplast thylakoid membrane
AT2G46070	Nucleus	Nucleus
AT2G46340	Other / unknown	
AT2G46370	Cytoplasm	Cytoplasm
AT2G46430	Plasma membrane	Cell membrane
AT2G46440	Plasma membrane	Cell membrane
AT2G46450	Plasma membrane	Cell membrane
AT2G46530	Nucleus	Nucleus
AT2G46690	Nucleus	Nucleus
AT2G46700	Cytoplasm	Cytoplasm
AT2G46720	Membrane	Membrane
AT2G46790	Nucleus	Nucleus
AT2G46830	Nucleus	Nucleus
AT2G46970	Nucleus	Nucleus
AT2G46990	Nucleus	Nucleus
AT2G47060	Cytoplasm	Cytoplasm, cytosol
AT2G47630	Other / unknown	
AT2G47730	Chloroplast	Plastid, chloroplast
AT2G47750	Other / unknown	
AT2G48150	Other / unknown	
AT3G01180	Chloroplast	Plastid, chloroplast
AT3G01190	Cell wall / apoplast	Secreted
AT3G01260	Other / unknown	
AT3G01420	Other / unknown	Lipid droplet
AT3G01440	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G01590	Other / unknown	
AT3G01830	Other / unknown	
AT3G01850	Other / unknown	
AT3G02360	Cytoplasm	Cytoplasm, cytosol
AT3G02380	Nucleus	Nucleus
AT3G03000	Vacuole	Vacuole
AT3G03190	Cytoplasm	Cytoplasm, cytosol
AT3G03310	Membrane	Microsome membrane
AT3G03430	Other / unknown	
AT3G03450	Nucleus	Nucleus
AT3G03480	Other / unknown	
AT3G03640	Other / unknown	
AT3G03670	Cell wall / apoplast	Secreted
AT3G03820	Plasma membrane	Cell membrane
AT3G03830	Plasma membrane	Cell membrane
AT3G03840	Plasma membrane	Cell membrane
AT3G03850	Plasma membrane	Cell membrane
AT3G04050	Cytoplasm	Cytoplasm
AT3G04730	Nucleus	Nucleus
AT3G04790	Chloroplast	Plastid, chloroplast
AT3G05120	Nucleus	Nucleus
AT3G06500	Mitochondrion	Mitochondrion
AT3G06690	Other / unknown	
AT3G07040	Membrane	Endomembrane system
AT3G07490	Other / unknown	
AT3G07770	Mitochondrion	Mitochondrion
AT3G08940	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G09260	Endoplasmic reticulum	Endoplasmic reticulum lumen
AT3G09270	Cytoplasm	Cytoplasm, cytosol
AT3G09640	Cytoplasm	Cytoplasm
AT3G09870	Other / unknown	
AT3G10190	Other / unknown	
AT3G10300	Other / unknown	
AT3G10340	Cytoplasm	Cytoplasm
AT3G10660	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT3G11410	Other / unknown	
AT3G12780	Chloroplast	Plastid, chloroplast
AT3G12830	Cytoplasm	Cytoplasm
AT3G13560	Plasma membrane	Cell membrane
AT3G13784	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT3G13790	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT3G14940	Cytoplasm	Cytoplasm
AT3G15020	Mitochondrion	Mitochondrion matrix
AT3G15354	Nucleus	Nucleus
AT3G15540	Nucleus	Nucleus
AT3G16140	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G16360	Cytoplasm	Cytoplasm, cytosol
AT3G16910	Peroxisome	Peroxisome
AT3G16950	Chloroplast	Plastid, chloroplast stroma
AT3G17070	Cell wall / apoplast	Secreted
AT3G17410	Cytoplasm	Cytoplasm, cytosol
AT3G17600	Nucleus	Nucleus
AT3G17609	Nucleus	Nucleus
AT3G17690	Plasma membrane	Cell membrane
AT3G17700	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G17860	Nucleus	Nucleus
AT3G18070	Other / unknown	
AT3G18080	Cell wall / apoplast	Secreted
AT3G19100	Membrane	Membrane
AT3G19290	Nucleus	Nucleus
AT3G19450	Other / unknown	
AT3G20040	Mitochondrion	Mitochondrion outer membrane
AT3G20220	Other / unknown	
AT3G20410	Plasma membrane	Cell membrane
AT3G20440	Chloroplast	Plastid, chloroplast stroma
AT3G21230	Other / unknown	
AT3G21240	Other / unknown	
AT3G21370	Endoplasmic reticulum	Endoplasmic reticulum lumen
AT3G21510	Cytoplasm	Cytoplasm, cytosol
AT3G21560	Other / unknown	
AT3G21630	Plasma membrane	Cell membrane
AT3G21770	Cell wall / apoplast	Secreted
AT3G22930	Other / unknown	
AT3G22960	Chloroplast	Plastid, chloroplast stroma
AT3G23030	Nucleus	Nucleus
AT3G23050	Nucleus	Nucleus
AT3G23150	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT3G23240	Nucleus	Nucleus
AT3G23580	Cytoplasm	Cytoplasm
AT3G23630	Mitochondrion	Mitochondrion
AT3G23750	Membrane	Membrane
AT3G23920	Chloroplast	Plastid, chloroplast
AT3G24110	Other / unknown	
AT3G24170	Cytoplasm	Cytoplasm
AT3G25070	Membrane	Endomembrane system
AT3G25600	Other / unknown	
AT3G25760	Chloroplast	Plastid, chloroplast
AT3G25770	Chloroplast	Plastid, chloroplast
AT3G25780	Chloroplast	Plastid, chloroplast
AT3G25860	Chloroplast	Plastid, chloroplast stroma
AT3G26650	Chloroplast	Plastid, chloroplast membrane
AT3G26940	Plasma membrane	Cell membrane
AT3G27060	Cytoplasm	Cytoplasm
AT3G27300	Cytoplasm	Cytoplasm, cytosol
AT3G27690	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G28200	Cell wall / apoplast	Secreted
AT3G28910	Nucleus	Nucleus
AT3G29320	Chloroplast	Plastid, chloroplast stroma
AT3G29350	Cytoplasm	Cytoplasm, cytosol
AT3G32980	Cell wall / apoplast	Secreted
AT3G42640	Membrane	Membrane
AT3G43120	Other / unknown	
AT3G43190	Other / unknown	
AT3G43670	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT3G43800	Cytoplasm	Cytoplasm, cytosol
AT3G43860	Cell wall / apoplast	Secreted
AT3G44735	Cell wall / apoplast	Secreted
AT3G45140	Chloroplast	Plastid, chloroplast
AT3G45640	Cytoplasm	Cytoplasm
AT3G46970	Cytoplasm	Cytoplasm
AT3G47000	Other / unknown	
AT3G47040	Other / unknown	
AT3G47050	Other / unknown	
AT3G47450	Mitochondrion	Mitochondrion
AT3G47470	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G47480	Other / unknown	
AT3G47800	Other / unknown	
AT3G47950	Plasma membrane	Cell membrane
AT3G48000	Mitochondrion	Mitochondrion matrix
AT3G48010	Plasma membrane	Cell membrane
AT3G48080	Nucleus	Nucleus
AT3G48090	Nucleus	Nucleus
AT3G48100	Nucleus	Nucleus
AT3G49110	Cell wall / apoplast	Secreted
AT3G49120	Cell wall / apoplast	Secreted
AT3G49160	Chloroplast	Plastid, chloroplast stroma
AT3G49780	Cell wall / apoplast	Secreted
AT3G49960	Cell wall / apoplast	Secreted
AT3G50520	Other / unknown	
AT3G50740	Nucleus	Nucleus
AT3G50750	Other / unknown	
AT3G50770	Other / unknown	
AT3G50820	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G51240	Other / unknown	
AT3G51840	Peroxisome	Glyoxysome
AT3G51920	Other / unknown	
AT3G52160	Membrane	Membrane
AT3G52340	Other / unknown	
AT3G52600	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT3G52930	Cytoplasm	Cytoplasm, cytosol
AT3G53160	Other / unknown	
AT3G53250	Other / unknown	
