locus	compartment	location
AT1G01060	Nucleus	Nucleus
AT1G01090	Chloroplast	Plastid, chloroplast
AT1G01120	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT1G01340	Plasma membrane	Cell membrane
AT1G01360	Cytoplasm	Cytoplasm
AT1G01560	Other / unknown	
AT1G01740	Plasma membrane	Cell membrane
AT1G02800	Cell wall / apoplast	Secreted
AT1G02850	Other / unknown	
AT1G02920	Cytoplasm	Cytoplasm, cytosol
AT1G02930	Cytoplasm	Cytoplasm, cytosol
AT1G02940	Cytoplasm	Cytoplasm, cytosol
AT1G02950	Cytoplasm	Cytoplasm, cytosol
AT1G03130	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G03310	Chloroplast	Plastid, chloroplast
AT1G03445	Nucleus	Nucleus
AT1G03600	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G03970	Nucleus	Nucleus
AT1G04100	Nucleus	Nucleus
AT1G04180	Other / unknown	
AT1G04220	Membrane	Membrane
AT1G04240	Nucleus	Nucleus
AT1G04250	Nucleus	Nucleus
AT1G04310	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT1G04400	Nucleus	Nucleus
AT1G04550	Nucleus	Nucleus
AT1G04610	Other / unknown	
AT1G04710	Peroxisome	Peroxisome
AT1G04920	Other / unknown	
AT1G05240	Cell wall / apoplast	Secreted
AT1G05250	Cell wall / apoplast	Secreted
AT1G05260	Cell wall / apoplast	Secreted
AT1G05990	Other / unknown	
AT1G06020	Other / unknown	
AT1G06310	Peroxisome	Peroxisome
AT1G06410	Other / unknown	
AT1G06570	Cytoplasm	Cytoplasm
AT1G06680	Chloroplast	Plastid, chloroplast thylakoid lumen
AT1G06700	Plasma membrane	Cell membrane
AT1G07430	Plasma membrane	Cell membrane
AT1G07720	Endoplasmic reticulum	Endoplasmic reticulum
AT1G08320	Nucleus	Nucleus
AT1G08380	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G08980	Cytoplasm	Cytoplasm
AT1G09090	Membrane	Membrane
AT1G09400	Other / unknown	
AT1G09420	Chloroplast	Plastid, chloroplast stroma
AT1G09530	Nucleus	Nucleus
AT1G09570	Cytoplasm	Cytoplasm
AT1G09870	Other / unknown	
AT1G10360	Cytoplasm	Cytoplasm, cytosol
AT1G10370	Cytoplasm	Cytoplasm, cytosol
AT1G10470	Nucleus	Nucleus
AT1G10940	Other / unknown	
AT1G10960	Chloroplast	Plastid, chloroplast
AT1G11720	Chloroplast	Plastid, chloroplast
AT1G11820	Plasma membrane	Cell membrane
AT1G12000	Cytoplasm	Cytoplasm
AT1G12220	Plasma membrane	Cell membrane
AT1G12230	Other / unknown	
AT1G12240	Vacuole	Vacuole
AT1G12900	Chloroplast	Plastid, chloroplast stroma
AT1G13280	Chloroplast	Plastid, chloroplast
AT1G13440	Cytoplasm	Cytoplasm
AT1G13590	Cell wall / apoplast	Secreted
AT1G14150	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G14540	Cell wall / apoplast	Secreted
AT1G14550	Cell wall / apoplast	Secreted
AT1G15050	Nucleus	Nucleus
AT1G15580	Nucleus	Nucleus
AT1G15820	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G15950	Other / unknown	
AT1G16300	Chloroplast	Plastid, chloroplast stroma
AT1G16510	Cytoplasm	Cytoplasm
AT1G17170	Cytoplasm	Cytoplasm, cytosol
AT1G17180	Cytoplasm	Cytoplasm, cytosol
AT1G17190	Cytoplasm	Cytoplasm, cytosol
AT1G17260	Membrane	Membrane
AT1G17380	Nucleus	Nucleus
AT1G17420	Chloroplast	Plastid, chloroplast
AT1G18020	Other / unknown	
AT1G18210	Other / unknown	
AT1G18890	Membrane	Membrane
AT1G19050	Nucleus	Nucleus
AT1G19150	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G19180	Nucleus	Nucleus
AT1G19220	Nucleus	Nucleus
AT1G19230	Membrane	Membrane
AT1G19350	Nucleus	Nucleus
AT1G19440	Membrane	Membrane
AT1G19570	Mitochondrion	Mitochondrion
AT1G19640	Cytoplasm	Cytoplasm
AT1G19780	Plasma membrane	Cell membrane
AT1G19830	Plasma membrane	Cell membrane
AT1G19840	Other / unknown	
AT1G19850	Nucleus	Nucleus
AT1G20020	Chloroplast	Plastid, chloroplast stroma
AT1G20340	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G20470	Other / unknown	
AT1G20480	Peroxisome	Peroxisome
AT1G20490	Peroxisome	Peroxisome
AT1G20500	Peroxisome	Peroxisome
AT1G20510	Peroxisome	Peroxisome
AT1G21550	Other / unknown	
AT1G22070	Nucleus	Nucleus
AT1G22170	Chloroplast	Plastid, chloroplast
AT1G22340	Other / unknown	
AT1G22360	Other / unknown	
AT1G22370	Other / unknown	
AT1G22380	Other / unknown	
AT1G22400	Other / unknown	
AT1G22430	Cytoplasm	Cytoplasm
AT1G22440	Cytoplasm	Cytoplasm
AT1G22650	Other / unknown	
AT1G22770	Nucleus	Nucleus
AT1G22880	Cell wall / apoplast	Secreted
AT1G23160	Other / unknown	
AT1G23190	Cytoplasm	Cytoplasm
AT1G23210	Cell wall / apoplast	Secreted
AT1G23310	Peroxisome	Peroxisome
AT1G23800	Mitochondrion	Mitochondrion matrix
AT1G23870	Other / unknown	
AT1G24180	Mitochondrion	Mitochondrion matrix
AT1G24280	Chloroplast	Plastid, chloroplast stroma
AT1G24620	Other / unknown	
AT1G24735	Other / unknown	
AT1G25450	Membrane	Membrane
AT1G26560	Other / unknown	
AT1G27130	Cytoplasm	Cytoplasm, cytosol
AT1G27140	Cytoplasm	Cytoplasm, cytosol
AT1G27320	Plasma membrane	Cell membrane
AT1G27680	Chloroplast	Plastid, chloroplast
AT1G28130	Other / unknown	
AT1G29420	Plasma membrane	Cell membrane
AT1G29430	Plasma membrane	Cell membrane
AT1G29440	Plasma membrane	Cell membrane
AT1G29450	Plasma membrane	Cell membrane
AT1G29460	Plasma membrane	Cell membrane
AT1G29490	Plasma membrane	Cell membrane
AT1G29500	Plasma membrane	Cell membrane
AT1G29510	Plasma membrane	Cell membrane
AT1G29910	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G29920	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G29930	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G30120	Chloroplast	Plastid, chloroplast
AT1G30330	Nucleus	Nucleus
AT1G30380	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G30510	Chloroplast	Plastid, chloroplast
AT1G30760	Cell wall / apoplast	Secreted, cell wall
AT1G30870	Cell wall / apoplast	Secreted
AT1G31330	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G31690	Peroxisome	Peroxisome
AT1G31710	Peroxisome	Peroxisome
AT1G32060	Chloroplast	Plastid, chloroplast
AT1G32550	Chloroplast	Plastid, chloroplast
AT1G32640	Nucleus	Nucleus
AT1G32780	Cytoplasm	Cytoplasm
AT1G32900	Chloroplast	Plastid, chloroplast
AT1G34430	Chloroplast	Plastid, chloroplast stroma
AT1G34510	Cell wall / apoplast	Secreted
AT1G35240	Nucleus	Nucleus
AT1G35580	Cytoplasm	Cytoplasm, cytosol
AT1G35670	Cytoplasm	Cytoplasm
AT1G35910	Other / unknown	
AT1G42970	Chloroplast	Plastid, chloroplast membrane
AT1G43670	Cytoplasm	Cytoplasm
AT1G44170	Other / unknown	
AT1G44575	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G44970	Cell wall / apoplast	Secreted
AT1G45191	Other / unknown	
AT1G45249	Nucleus	Nucleus
AT1G45474	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G47840	Other / unknown	
AT1G48030	Mitochondrion	Mitochondrion matrix
AT1G48210	Cytoplasm	Cytoplasm
AT1G48470	Cytoplasm	Cytoplasm
AT1G48500	Nucleus	Nucleus
AT1G48660	Other / unknown	
AT1G48670	Other / unknown	
AT1G48930	Cell wall / apoplast	Secreted
AT1G49570	Cell wall / apoplast	Secreted
AT1G49580	Membrane	Membrane
AT1G49720	Nucleus	Nucleus
AT1G49860	Cytoplasm	Cytoplasm, cytosol
AT1G50060	Other / unknown	
AT1G50390	Other / unknown	
AT1G50460	Mitochondrion	Mitochondrion outer membrane
AT1G51420	Other / unknown	
AT1G51660	Cytoplasm	Cytoplasm
AT1G51680	Other / unknown	
AT1G51950	Nucleus	Nucleus
AT1G52230	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G52760	Plasma membrane	Cell membrane
AT1G52830	Nucleus	Nucleus
AT1G53090	Nucleus	Nucleus
AT1G53680	Cytoplasm	Cytoplasm, cytosol
AT1G54100	Other / unknown	
AT1G54340	Peroxisome	Peroxisome
AT1G55120	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT1G55670	Chloroplast	Plastid, chloroplast membrane
AT1G56150	Cytoplasm	Cytoplasm
AT1G56190	Chloroplast	Plastid, chloroplast
AT1G56650	Nucleus	Nucleus
AT1G59670	Cytoplasm	Cytoplasm, cytosol
AT1G59700	Cytoplasm	Cytoplasm, cytosol
AT1G59750	Nucleus	Nucleus
AT1G59940	Nucleus	Nucleus
AT1G60090	Other / unknown	
AT1G60140	Other / unknown	
AT1G60260	Other / unknown	
AT1G60270	Other / unknown	
AT1G60940	Other / unknown	
AT1G60950	Chloroplast	Plastid, chloroplast
AT1G61520	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G61720	Other / unknown	
AT1G61810	Other / unknown	
AT1G61820	Other / unknown	
AT1G61950	Membrane	Membrane
AT1G62660	Membrane	Membrane
AT1G62800	Cytoplasm	Cytoplasm
AT1G62810	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT1G62940	Endoplasmic reticulum	Endoplasmic reticulum
AT1G63500	Plasma membrane	Cell membrane
AT1G63770	Other / unknown	
AT1G64060	Plasma membrane	Cell membrane
AT1G64190	Chloroplast	Plastid, chloroplast
AT1G64390	Cell wall / apoplast	Secreted
AT1G64710	Cytoplasm	Cytoplasm
AT1G65060	Other / unknown	
AT1G65480	Cytoplasm	Cytoplasm
AT1G65610	Membrane	Membrane
AT1G66150	Plasma membrane	Cell membrane
AT1G66200	Cytoplasm	Cytoplasm
AT1G66250	Plasma membrane	Cell membrane
AT1G66270	Endoplasmic reticulum	Endoplasmic reticulum lumen
AT1G66280	Endoplasmic reticulum	Endoplasmic reticulum lumen
AT1G66350	Nucleus	Nucleus
AT1G66400	Other / unknown	
AT1G66430	Chloroplast	Plastid, chloroplast
AT1G67090	Chloroplast	Plastid, chloroplast membrane
AT1G67110	Membrane	Membrane
AT1G67560	Chloroplast	Plastid, chloroplast
AT1G67710	Nucleus	Nucleus
AT1G67740	Chloroplast	Plastid, chloroplast thylakoid membrane
AT1G67980	Other / unknown	
AT1G67990	Other / unknown	
AT1G68020	Other / unknown	
AT1G68050	Nucleus	Nucleus
AT1G68530	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT1G68640	Nucleus	Nucleus
AT1G68750	Cytoplasm	Cytoplasm
AT1G68850	Cell wall / apoplast	Secreted
AT1G69830	Chloroplast	Plastid, chloroplast
AT1G69920	Nucleus	Nucleus
AT1G69930	Cytoplasm	Cytoplasm, cytosol
AT1G70290	Other / unknown	
AT1G70310	Other / unknown	
AT1G70560	Cytoplasm	Cytoplasm
AT1G70580	Peroxisome	Peroxisome
AT1G70700	Nucleus	Nucleus
AT1G70710	Cell wall / apoplast	Secreted
AT1G70730	Cytoplasm	Cytoplasm
AT1G71100	Cytoplasm	Cytoplasm
AT1G71160	Membrane	Membrane
AT1G71380	Cell wall / apoplast	Secreted, cell wall
AT1G71920	Chloroplast	Plastid, chloroplast
AT1G72000	Other / unknown	
AT1G72330	Mitochondrion	Mitochondrion
AT1G72450	Nucleus	Nucleus
