locus	compartment
AT1G05190	Chloroplast
AT1G05200	Plasma membrane
AT1G05230	Nucleus
AT1G05240	Cell wall / apoplast
AT1G05250	Cell wall / apoplast
AT1G05260	Cell wall / apoplast
AT1G05291	Endoplasmic reticulum
AT1G05300	Plasma membrane
AT1G05310	Cell wall / apoplast
AT1G05340	Plasma membrane
AT1G05360	Endoplasmic reticulum
AT1G05385	Chloroplast
AT1G05420	Nucleus
AT1G05450	Plasma membrane
AT1G05460	Cytoplasm
AT1G05490	Nucleus
AT1G05500	Membrane (unspecified)
AT1G05510	Other / unknown
AT1G05520	Cytoplasm
AT1G05560	Nucleus
AT1G05570	Plasma membrane
AT1G05577	Plasma membrane
AT1G05580	Chloroplast
AT1G05590	Plasma membrane
AT1G05610	Chloroplast
AT1G05615	Nucleus
AT1G05620	Cytoplasm
AT1G05630	Nucleus
AT1G05670	Mitochondrion
AT1G05700	Membrane (unspecified)
AT1G05710	Nucleus
AT1G05750	Chloroplast
AT1G05760	Cytoplasm
AT1G05800	Chloroplast
AT1G05805	Nucleus
AT1G05810	Plasma membrane
AT1G05820	Membrane (unspecified)
AT1G05830	Nucleus
AT1G05850	Cell wall / apoplast
AT1G05900	Chloroplast
AT1G05920	Nucleus
AT1G05930	Nucleus
AT1G05940	Chloroplast
AT1G05970	Nucleus
AT1G06040	Nucleus
AT1G06080	Endoplasmic reticulum
AT1G06090	Endoplasmic reticulum
AT1G06100	Endoplasmic reticulum
AT1G06120	Endoplasmic reticulum
AT1G06130	Chloroplast
AT1G06140	Mitochondrion
AT1G06150	Nucleus
AT1G06160	Nucleus
AT1G06170	Nucleus
AT1G06180	Nucleus
AT1G06190	Chloroplast
AT1G06210	Cytoplasm
AT1G06220	Nucleus
AT1G06225	Cell wall / apoplast
AT1G06230	Nucleus
AT1G06250	Cytoplasm
AT1G06290	Peroxisome
AT1G06310	Peroxisome
AT1G06350	Endoplasmic reticulum
AT1G06360	Endoplasmic reticulum
AT1G06400	Plasma membrane
AT1G06430	Chloroplast
AT1G06450	Nucleus
AT1G06470	Membrane (unspecified)
AT1G06490	Plasma membrane
AT1G06520	Membrane (unspecified)
AT1G06530	Mitochondrion
AT1G06560	Nucleus
AT1G06570	Cytoplasm
AT1G06590	Nucleus
AT1G06670	Nucleus
AT1G06680	Chloroplast
AT1G06690	Chloroplast
AT1G06700	Plasma membrane
AT1G06710	Mitochondrion
AT1G06760	Nucleus
AT1G06770	Nucleus
AT1G06780	Golgi
AT1G06800	Chloroplast
AT1G06820	Chloroplast
AT1G06830	Cytoplasm
AT1G06840	Membrane (unspecified)
AT1G06870	Chloroplast
AT1G06890	Golgi
AT1G06920	Nucleus
AT1G06950	Chloroplast
AT1G06960	Nucleus
AT1G06970	Membrane (unspecified)
AT1G06990	Cell wall / apoplast
AT1G07000	Cytoplasm
AT1G07010	Chloroplast
AT1G07040	Chloroplast
AT1G07090	Nucleus
AT1G07110	Membrane (unspecified)
AT1G07120	Cytoplasm
AT1G07130	Nucleus
AT1G07140	Nucleus
AT1G07180	Mitochondrion
AT1G07200	Nucleus
AT1G07230	Cell wall / apoplast
AT1G07270	Nucleus
AT1G07290	Golgi
AT1G07320	Chloroplast
AT1G07340	Membrane (unspecified)
AT1G07350	Nucleus
AT1G07370	Nucleus
AT1G07380	Cell wall / apoplast
AT1G07390	Plasma membrane
AT1G07400	Cytoplasm
AT1G07410	Membrane (unspecified)
AT1G07420	Endoplasmic reticulum
AT1G07430	Plasma membrane
AT1G07490	Plasma membrane
AT1G07510	Mitochondrion
AT1G07520	Nucleus
AT1G07530	Nucleus
AT1G07540	Nucleus
AT1G07550	Membrane (unspecified)
AT1G07560	Membrane (unspecified)
AT1G07570	Plasma membrane
AT1G07590	Mitochondrion
AT1G07615	Mitochondrion
AT1G07630	Nucleus
AT1G07640	Nucleus
AT1G07650	Membrane (unspecified)
AT1G07660;	Nucleus
AT1G07670	Membrane (unspecified)
AT1G07700	Chloroplast
AT1G07720	Endoplasmic reticulum
AT1G07730	Cell wall / apoplast
AT1G07740	Mitochondrion
AT1G07745	Nucleus
AT1G07770;	Cytoplasm
AT1G07780	Chloroplast
AT1G07790	Nucleus
AT1G07810	Endoplasmic reticulum
AT1G07820;	Nucleus
AT1G07870	Plasma membrane
AT1G07890	Cytoplasm
AT1G07910	Nucleus
AT1G07920	Cytoplasm
AT1G07930	Cytoplasm
AT1G07940	Cytoplasm
AT1G07950	Nucleus
AT1G07980	Nucleus
AT1G08000	Nucleus
AT1G08010	Nucleus
AT1G08030	Golgi
AT1G08060	Nucleus
AT1G08065	Chloroplast
AT1G08070	Chloroplast
AT1G08080	Chloroplast
AT1G08090	Plasma membrane
AT1G08100	Membrane (unspecified)
AT1G08130	Mitochondrion
AT1G08135	Membrane (unspecified)
AT1G08140	Membrane (unspecified)
AT1G08150	Membrane (unspecified)
AT1G08160	Membrane (unspecified)
AT1G08170	Nucleus
AT1G08180	Nucleus
AT1G08200	Cytoplasm
AT1G08230	Plasma membrane
AT1G08250	Chloroplast
AT1G08260	Nucleus
AT1G08280	Golgi
AT1G08290	Nucleus
AT1G08320	Nucleus
AT1G08340	Plasma membrane
AT1G08350	Membrane (unspecified)
AT1G08370	Cytoplasm
AT1G08380	Chloroplast
AT1G08400	Endoplasmic reticulum
AT1G08410	Cytoplasm
AT1G08420	Cytoplasm
AT1G08430	Plasma membrane
AT1G08440	Membrane (unspecified)
AT1G08450	Endoplasmic reticulum
AT1G08460	Nucleus
AT1G08465	Nucleus
AT1G08470	Vacuole
AT1G08480	Mitochondrion
AT1G08490	Chloroplast
AT1G08500	Plasma membrane
AT1G08510	Chloroplast
AT1G08520	Chloroplast
AT1G08540	Chloroplast
AT1G08550	Chloroplast
AT1G08560	Membrane (unspecified)
AT1G08570	Chloroplast
AT1G08590	Plasma membrane
AT1G08600	Nucleus
AT1G08620	Nucleus
AT1G08640	Chloroplast
AT1G08660	Golgi
AT1G08695	Cell wall / apoplast
AT1G08700	Endoplasmic reticulum
AT1G08720	Plasma membrane
AT1G08760	Cytoplasm
AT1G08770	Membrane (unspecified)
AT1G08780	Cytoplasm
AT1G08800	Membrane (unspecified)
AT1G08810	Nucleus
AT1G08820	Endoplasmic reticulum
AT1G08830	Cytoplasm
AT1G08840	Nucleus
AT1G08860	Plasma membrane
AT1G08880	Nucleus
AT1G08890	Membrane (unspecified)
AT1G08900	Membrane (unspecified)
AT1G08910	Nucleus
AT1G08920	Vacuole
AT1G08930	Membrane (unspecified)
AT1G08960	Plasma membrane
AT1G08970	Nucleus
AT1G08980	Cytoplasm
AT1G08985	Nucleus
AT1G08990	Golgi
AT1G09020	Nucleus
AT1G09030	Nucleus
AT1G09060	Nucleus
AT1G09070	Endoplasmic reticulum
AT1G09080	Endoplasmic reticulum
AT1G09090	Membrane (unspecified)
AT1G09100	Cytoplasm
AT1G09130	Chloroplast
AT1G09140	Nucleus
AT1G09157	Endoplasmic reticulum
AT1G09200;	Nucleus
AT1G09210	Endoplasmic reticulum
AT1G09220	Mitochondrion
AT1G09230	Nucleus
AT1G09245	Cell wall / apoplast
AT1G09250	Nucleus
AT1G09270	Nucleus
AT1G09300	Mitochondrion
AT1G09320	Nucleus
AT1G09330	Golgi
AT1G09340	Chloroplast
AT1G09350	Cytoplasm
AT1G09380	Membrane (unspecified)
AT1G09390	Cell wall / apoplast
AT1G09410	Mitochondrion
AT1G09415	Nucleus
AT1G09420	Chloroplast
AT1G09430	Cytoplasm
AT1G09450	Cytoplasm
AT1G09470	Nucleus
AT1G09483	Membrane (unspecified)
AT1G09530	Nucleus
AT1G09540	Nucleus
AT1G09550	Cell wall / apoplast
AT1G09560	Cell wall / apoplast
AT1G09570	Cytoplasm
AT1G09575	Mitochondrion
AT1G09580	Endoplasmic reticulum
AT1G09610	Golgi
AT1G09620	Cytoplasm
AT1G09630	Membrane (unspecified)
AT1G09660/AT1G09670	Nucleus
AT1G09700	Nucleus
AT1G09750	Cell wall / apoplast
AT1G09760	Nucleus
AT1G09770	Nucleus
AT1G09780	Cytoplasm
AT1G09790	Plasma membrane
AT1G09795	Chloroplast
AT1G09830	Chloroplast
AT1G09860	Membrane (unspecified)
AT1G09930	Membrane (unspecified)
AT1G09940	Chloroplast
AT1G09960	Plasma membrane
AT1G09970	Membrane (unspecified)
AT1G10010	Plasma membrane
AT1G10030	Endoplasmic reticulum
AT1G10060	Mitochondrion
AT1G10070	Chloroplast
AT1G10090	Membrane (unspecified)
AT1G10120	Nucleus
AT1G10130	Golgi
AT1G10150	Membrane (unspecified)
AT1G10170	Nucleus
AT1G10200	Cytoplasm
AT1G10230	Nucleus
AT1G10240	Nucleus
AT1G10270	Nucleus
AT1G10290	Cytoplasm
AT1G10310	Cytoplasm
AT1G10360	Cytoplasm
AT1G10370	Cytoplasm
AT1G10390	Nucleus
AT1G10430	Cytoplasm
AT1G10450	Nucleus
AT1G10455	Nucleus
AT1G10460	Cell wall / apoplast
AT1G10470	Nucleus
AT1G10480	Nucleus
AT1G10490	Nucleus
AT1G10500	Chloroplast
AT1G10520	Nucleus
AT1G10522	Chloroplast
AT1G10540	Plasma membrane
AT1G10550	Cell wall / apoplast
AT1G10560	Membrane (unspecified)
AT1G10570	Nucleus
AT1G10585	Nucleus
AT1G10586	Nucleus
AT1G10610	Nucleus
AT1G10620	Plasma membrane
AT1G10670	Cytoplasm
AT1G10680	Membrane (unspecified)
AT1G10700	Chloroplast
