locus	compartment
AT1G79790	Chloroplast
AT1G79800	Plasma membrane
AT1G79810	Peroxisome
AT1G79820	Chloroplast
AT1G79830	Golgi
AT1G79840	Nucleus
AT1G79850	Chloroplast
AT1G79860	Cytoplasm
AT1G79870	Cytoplasm
AT1G79880	Nucleus
AT1G79900	Mitochondrion
AT1G79920	Cytoplasm
AT1G79930	Cytoplasm
AT1G79940	Endoplasmic reticulum
AT1G79950	Nucleus
AT1G79960	Nucleus
AT1G79990	Cytoplasm
AT1G80000	Nucleus
AT1G80010	Nucleus
AT1G80050	Cytoplasm
AT1G80070	Nucleus
AT1G80080	Plasma membrane
AT1G80100	Cytoplasm
AT1G80110	Nucleus
AT1G80133	Cell wall / apoplast
AT1G80150	Mitochondrion
AT1G80170	Cell wall / apoplast
AT1G80230	Mitochondrion
AT1G80240	Cell wall / apoplast
AT1G80270	Mitochondrion
AT1G80300	Chloroplast
AT1G80310	Vacuole
AT1G80350	Cytoplasm
AT1G80360	Cytoplasm
AT1G80380	Chloroplast
AT1G80390	Nucleus
AT1G80420	Nucleus
AT1G80450	Nucleus
AT1G80460	Cytoplasm
AT1G80490	Nucleus
AT1G80510	Endoplasmic reticulum
AT1G80550	Mitochondrion
AT1G80560	Chloroplast
AT1G80580	Nucleus
AT1G80590	Nucleus
AT1G80600	Chloroplast
AT1G80640	Plasma membrane
AT1G80660	Membrane (unspecified)
AT1G80670	Nucleus
AT1G80680	Nucleus
AT1G80730	Nucleus
AT1G80740	Nucleus
AT1G80760	Membrane (unspecified)
AT1G80780	Nucleus
AT1G80810	Nucleus
AT1G80830	Plasma membrane
AT1G80840	Nucleus
AT1G80860	Endoplasmic reticulum
AT1G80870	Plasma membrane
AT1G80880	Mitochondrion
AT1G80900	Plasma membrane
AT1G80910	Other / unknown
AT1G80920	Chloroplast
AT1G80950	Endoplasmic reticulum
AT1GXXXXX	Plasma membrane
AT2G01060	Nucleus
AT2G01090	Mitochondrion
AT2G01110	Chloroplast
AT2G01120	Nucleus
AT2G01130	Mitochondrion
AT2G01140	Chloroplast
AT2G01150	Cytoplasm
AT2G01170	Mitochondrion
AT2G01180	Membrane (unspecified)
AT2G01200	Nucleus
AT2G01210	Plasma membrane
AT2G01240	Endoplasmic reticulum
AT2G01270	Cell wall / apoplast
AT2G01290	Cytoplasm
AT2G01320	Membrane (unspecified)
AT2G01350	Chloroplast
AT2G01420	Plasma membrane
AT2G01430	Nucleus
AT2G01440	Chloroplast
AT2G01470	Endoplasmic reticulum
AT2G01480	Golgi
AT2G01500	Nucleus
AT2G01505	Cell wall / apoplast
AT2G01510	Mitochondrion
AT2G01540	Plasma membrane
AT2G01570	Nucleus
AT2G01590	Chloroplast
AT2G01600	Membrane (unspecified)
AT2G01630	Plasma membrane
AT2G01650	Membrane (unspecified)
AT2G01660	Plasma membrane
AT2G01670	Mitochondrion
AT2G01680	Membrane (unspecified)
AT2G01690	Cytoplasm
AT2G01720	Endoplasmic reticulum
AT2G01730	Nucleus
AT2G01735	Membrane (unspecified)
AT2G01750	Cytoplasm
AT2G01760	Nucleus
AT2G01770	Vacuole
AT2G01810	Nucleus
AT2G01820	Membrane (unspecified)
AT2G01830	Endoplasmic reticulum
AT2G01850	Cell wall / apoplast
AT2G01880	Cell wall / apoplast
AT2G01890	Cell wall / apoplast
AT2G01910	Nucleus
AT2G01918	Chloroplast
AT2G01920	Membrane (unspecified)
AT2G01930	Nucleus
AT2G01940	Nucleus
AT2G01950	Plasma membrane
AT2G01960	Membrane (unspecified)
AT2G01970	Membrane (unspecified)
AT2G01980	Plasma membrane
AT2G02020	Membrane (unspecified)
AT2G02040	Vacuole
AT2G02050	Mitochondrion
AT2G02070	Chloroplast
AT2G02080	Chloroplast
AT2G02090	Nucleus
AT2G02100	Cell wall / apoplast
AT2G02120	Cell wall / apoplast
AT2G02130	Cell wall / apoplast
AT2G02135	Cell wall / apoplast
AT2G02140	Cell wall / apoplast
AT2G02147	Cell wall / apoplast
AT2G02180	Vacuole
AT2G02220	Plasma membrane
AT2G02230	Nucleus
AT2G02380	Cytoplasm
AT2G02390	Cytoplasm
AT2G02450	Nucleus
AT2G02470	Nucleus
AT2G02480	Nucleus
AT2G02500	Chloroplast
AT2G02510	Mitochondrion
AT2G02540	Nucleus
AT2G02580	Membrane (unspecified)
AT2G02740	Chloroplast
AT2G02780	Membrane (unspecified)
AT2G02790	Nucleus
AT2G02800	Plasma membrane
AT2G02810	Endoplasmic reticulum
AT2G02820	Nucleus
AT2G02850	Cell wall / apoplast
AT2G02860	Plasma membrane
AT2G02870	Nucleus
AT2G02930	Cytoplasm
AT2G02950	Plasma membrane
AT2G02955	Nucleus
AT2G02970	Cytoplasm
AT2G02980	Chloroplast
AT2G03050	Chloroplast
AT2G03060	Nucleus
AT2G03070	Nucleus
AT2G03090	Cell wall / apoplast
AT2G03120	Endoplasmic reticulum
AT2G03150	Nucleus
AT2G03160	Nucleus
AT2G03170	Nucleus
AT2G03190	Nucleus
AT2G03210	Golgi
AT2G03220	Golgi
AT2G03240	Plasma membrane
AT2G03250	Plasma membrane
AT2G03260	Plasma membrane
AT2G03280	Golgi
AT2G03290	Endoplasmic reticulum
AT2G03340	Nucleus
AT2G03380	Mitochondrion
AT2G03390	Chloroplast
AT2G03450	Cell wall / apoplast
AT2G03480	Endoplasmic reticulum
AT2G03500	Nucleus
AT2G03520	Membrane (unspecified)
AT2G03530	Membrane (unspecified)
AT2G03590	Membrane (unspecified)
AT2G03600	Membrane (unspecified)
AT2G03620	Membrane (unspecified)
AT2G03670	Nucleus
AT2G03680	Cytoplasm
AT2G03690	Mitochondrion
AT2G03710	Nucleus
AT2G03750	Cytoplasm
AT2G03760	Cytoplasm
AT2G03770	Cytoplasm
AT2G03800	Nucleus
AT2G03830	Cell wall / apoplast
AT2G03840	Membrane (unspecified)
AT2G03870	Cytoplasm
AT2G03880	Mitochondrion
AT2G03913	Cell wall / apoplast
AT2G03931	Cell wall / apoplast
AT2G03932	Cell wall / apoplast
AT2G03933	Cell wall / apoplast
AT2G03936	Cell wall / apoplast
AT2G03937	Cell wall / apoplast
AT2G03955	Cell wall / apoplast
AT2G03980	Cell wall / apoplast
AT2G04020	Cell wall / apoplast
AT2G04025	Cell wall / apoplast
AT2G04030	Chloroplast
AT2G04032	Plasma membrane
AT2G04034	Cell wall / apoplast
AT2G04040	Plasma membrane
AT2G04045	Cell wall / apoplast
AT2G04046	Cell wall / apoplast
AT2G04050	Membrane (unspecified)
AT2G04070	Membrane (unspecified)
AT2G04080	Membrane (unspecified)
AT2G04090	Membrane (unspecified)
AT2G04100	Membrane (unspecified)
AT2G04160	Cell wall / apoplast
AT2G04240	Membrane (unspecified)
AT2G04270	Chloroplast
AT2G04300	Plasma membrane
AT2G04395	Nucleus
AT2G04400	Chloroplast
AT2G04425	Cell wall / apoplast
AT2G04530	Chloroplast
AT2G04540	Mitochondrion
AT2G04550	Nucleus
AT2G04560	Mitochondrion
AT2G04570	Cell wall / apoplast
AT2G04620	Vacuole
AT2G04630	Nucleus
AT2G04660	Nucleus
AT2G04700	Chloroplast
AT2G04750	Cytoplasm
AT2G04780	Plasma membrane
AT2G04842	Chloroplast
AT2G04845	Cytoplasm
AT2G04850	Membrane (unspecified)
AT2G04865	Nucleus
AT2G04880	Nucleus
AT2G04890	Nucleus
AT2G04925	Cell wall / apoplast
AT2G05070	Chloroplast
AT2G05100	Chloroplast
AT2G05117	Cell wall / apoplast
AT2G05120	Nucleus
AT2G05170	Vacuole
AT2G05210	Nucleus
AT2G05320	Golgi
AT2G05335	Cell wall / apoplast
AT2G05380	Cell wall / apoplast
AT2G05520	Cell wall / apoplast
AT2G05620	Chloroplast
AT2G05630	Cytoplasm
AT2G05710	Mitochondrion
AT2G05760	Membrane (unspecified)
AT2G05830	Cytoplasm
AT2G05840	Cytoplasm
AT2G05850	Cell wall / apoplast
AT2G05900	Nucleus
AT2G05920	Cell wall / apoplast
AT2G05940	Plasma membrane
AT2G05990	Chloroplast
AT2G06005	Membrane (unspecified)
AT2G06025	Chloroplast
AT2G06050	Peroxisome
AT2G06166	Cell wall / apoplast
AT2G06200	Nucleus
AT2G06210	Nucleus
AT2G06255	Nucleus
AT2G06510	Nucleus
AT2G06530	Other / unknown
AT2G06850	Cell wall / apoplast
AT2G06925	Cell wall / apoplast
AT2G06983	Cell wall / apoplast
AT2G06990	Nucleus
AT2G07040	Plasma membrane
AT2G07180	Plasma membrane
AT2G07340	Cytoplasm
AT2G07560	Membrane (unspecified)
AT2G07672	Mitochondrion
AT2G07673	Mitochondrion
AT2G07675	Mitochondrion
AT2G07680	Membrane (unspecified)
AT2G07683	Mitochondrion
AT2G07685	Mitochondrion
AT2G07686	Mitochondrion
AT2G07687	Mitochondrion
AT2G07690	Nucleus
AT2G07691	Mitochondrion
AT2G07692	Mitochondrion
AT2G07693	Mitochondrion
AT2G07695	Mitochondrion
AT2G07696	Mitochondrion
AT2G07697	Mitochondrion
AT2G07701	Mitochondrion
AT2G07702	Mitochondrion
AT2G07707	Mitochondrion
AT2G07708	Mitochondrion
AT2G07713	Mitochondrion
AT2G07718	Mitochondrion
AT2G07719	Mitochondrion
AT2G07722	Mitochondrion
AT2G07724	Mitochondrion
AT2G07727	Mitochondrion
AT2G07729	Mitochondrion
AT2G07734	Mitochondrion
AT2G07736	Mitochondrion
AT2G07737	Mitochondrion
AT2G07739	Mitochondrion
AT2G07741	Mitochondrion
AT2G07776	Mitochondrion
AT2G07783	Mitochondrion
AT2G07785;	Mitochondrion
AT2G07786	Mitochondrion
AT2G10440	Nucleus
AT2G10535	Cell wall / apoplast
AT2G10550	Mitochondrion
AT2G11520	Cytoplasm
AT2G11810	Chloroplast
AT2G11890	Nucleus
AT2G12465	Cell wall / apoplast
AT2G12475	Cell wall / apoplast
AT2G12480	Cell wall / apoplast
AT2G12646	Nucleus
AT2G13100	Membrane (unspecified)
AT2G13360	Peroxisome
AT2G13370	Nucleus
AT2G13420	Mitochondrion
AT2G13540	Nucleus
AT2G13542	Cell wall / apoplast
AT2G13560	Mitochondrion
AT2G13570	Nucleus
AT2G13610	Membrane (unspecified)
AT2G13620	Membrane (unspecified)
AT2G13650	Golgi
AT2G13680	Plasma membrane
AT2G13790	Plasma membrane
AT2G13800	Plasma membrane
AT2G13810	Chloroplast
AT2G13820	Plasma membrane
AT2G14050	Nucleus
AT2G14120	Mitochondrion
AT2G14170	Mitochondrion
AT2G14210	Nucleus
AT2G14255	Golgi
AT2G14260	Cytoplasm
AT2G14282	Cell wall / apoplast
AT2G14365	Cell wall / apoplast
AT2G14440	Plasma membrane
AT2G14510	Plasma membrane
AT2G14520	Membrane (unspecified)
AT2G14530	Membrane (unspecified)
AT2G14610	Cell wall / apoplast
AT2G14620	Cell wall / apoplast
AT2G14670	Plasma membrane
AT2G14720	Membrane (unspecified)
AT2G14740	Membrane (unspecified)
AT2G14750	Chloroplast
AT2G14760	Nucleus
AT2G14820	Plasma membrane
AT2G14890	Plasma membrane
AT2G14900	Cell wall / apoplast
AT2G14920	Cytoplasm
AT2G14935	Cell wall / apoplast
AT2G15010	Cell wall / apoplast
AT2G15040/AT2G15042	Plasma membrane
AT2G15080	Plasma membrane
AT2G15090	Endoplasmic reticulum
AT2G15230	Cell wall / apoplast
AT2G15280	Endoplasmic reticulum
AT2G15290	Chloroplast
AT2G15310	Golgi
AT2G15350	Golgi
AT2G15370	Golgi
AT2G15390	Golgi
AT2G15400	Nucleus
AT2G15430	Nucleus
AT2G15535	Cell wall / apoplast
AT2G15570	Chloroplast
AT2G15620	Chloroplast
AT2G15630	Mitochondrion
AT2G15690	Mitochondrion
AT2G15790	Cytoplasm
AT2G15820	Chloroplast
AT2G15880	Cell wall / apoplast
AT2G15890	Nucleus
AT2G15970	Membrane (unspecified)
AT2G16005	Cytoplasm
AT2G16060	Cytoplasm
AT2G16070	Chloroplast
AT2G16120	Membrane (unspecified)
AT2G16130	Membrane (unspecified)
AT2G16210	Nucleus
AT2G16250	Membrane (unspecified)
AT2G16280	Endoplasmic reticulum
AT2G16365	Nucleus
AT2G16380	Golgi
AT2G16390	Nucleus
AT2G16400	Nucleus
AT2G16430	Cell wall / apoplast
AT2G16440	Nucleus
AT2G16485/AT2G16480/AT2G16470	Nucleus
AT2G16500	Chloroplast
AT2G16510	Vacuole
AT2G16530	Endoplasmic reticulum
AT2G16570	Chloroplast
AT2G16580	Plasma membrane
AT2G16600	Cytoplasm
AT2G16640	Chloroplast
AT2G16650	Nucleus
AT2G16700	Cytoplasm
AT2G16710	Mitochondrion
AT2G16720	Nucleus
AT2G16730	Cell wall / apoplast
AT2G16750	Cytoplasm
AT2G16770	Nucleus
AT2G16780	Nucleus
AT2G16800	Chloroplast
AT2G16850	Plasma membrane
AT2G16860	Nucleus
AT2G16910	Nucleus
AT2G16950	Cytoplasm
AT2G17000	Membrane (unspecified)
AT2G17010	Plasma membrane
AT2G17030	Nucleus
AT2G17090	Plasma membrane
AT2G17120	Plasma membrane
AT2G17130	Mitochondrion
AT2G17150	Nucleus
AT2G17180	Nucleus
AT2G17190	Nucleus
AT2G17200	Nucleus
AT2G17220	Plasma membrane
AT2G17230	Cell wall / apoplast
AT2G17250	Nucleus
AT2G17260	Membrane (unspecified)
AT2G17265	Chloroplast
AT2G17270	Mitochondrion
AT2G17290	Plasma membrane
AT2G17330	Membrane (unspecified)
AT2G17360	Cytoplasm
AT2G17370	Endoplasmic reticulum
AT2G17380	Golgi
AT2G17390	Cytoplasm
AT2G17410	Nucleus
AT2G17420	Cytoplasm
AT2G17430	Plasma membrane
AT2G17450	Membrane (unspecified)
AT2G17470	Membrane (unspecified)
AT2G17480	Membrane (unspecified)
AT2G17500	Endoplasmic reticulum
AT2G17510	Nucleus
AT2G17520	Endoplasmic reticulum
AT2G17525	Mitochondrion
AT2G17560	Nucleus
AT2G17630	Chloroplast
AT2G17640	Cytoplasm
AT2G17700	Cytoplasm
AT2G17720	Endoplasmic reticulum
AT2G17723	Cell wall / apoplast
AT2G17730	Chloroplast
AT2G17740	Membrane (unspecified)
AT2G17760	Plasma membrane
AT2G17770	Nucleus
AT2G17780	Plasma membrane
AT2G17790	Cytoplasm
AT2G17800	Cytoplasm
AT2G17820	Plasma membrane
AT2G17840	Chloroplast
AT2G17870	Nucleus
AT2G17890	Plasma membrane
AT2G17900	Nucleus
AT2G17950	Nucleus
AT2G17970	Cytoplasm
AT2G18000	Cytoplasm
AT2G18010	Plasma membrane
AT2G18020	Cytoplasm
AT2G18060	Nucleus
AT2G18080	Cell wall / apoplast
AT2G18120	Nucleus
AT2G18130	Cell wall / apoplast
AT2G18140	Cell wall / apoplast
AT2G18150	Cell wall / apoplast
AT2G18160	Nucleus
AT2G18180	Golgi
AT2G18190	Membrane (unspecified)
AT2G18193	Membrane (unspecified)
AT2G18220	Nucleus
AT2G18230	Cytoplasm
AT2G18240	Membrane (unspecified)
AT2G18250	Cytoplasm
AT2G18290	Nucleus
AT2G18300	Nucleus
AT2G18328	Nucleus
AT2G18350	Nucleus
AT2G18380	Nucleus
AT2G18390	Cytoplasm
AT2G18410	Nucleus
AT2G18420	Cell wall / apoplast
AT2G18450	Mitochondrion
AT2G18460	Membrane (unspecified)
AT2G18470	Plasma membrane
AT2G18480	Membrane (unspecified)
AT2G18500	Nucleus
AT2G18520	Mitochondrion
AT2G18550	Nucleus
AT2G18620	Chloroplast
AT2G18630	Membrane (unspecified)
AT2G18640	Endoplasmic reticulum
AT2G18650	Membrane (unspecified)
AT2G18660	Cell wall / apoplast
AT2G18670	Membrane (unspecified)
AT2G18710	Chloroplast
AT2G18750	Nucleus
AT2G18760	Nucleus
AT2G18790	Cytoplasm
AT2G18800	Cell wall / apoplast
AT2G18810	Nucleus
AT2G18840	Golgi
AT2G18880	Nucleus
AT2G18915	Nucleus
AT2G18940	Chloroplast
AT2G18950	Chloroplast
AT2G18960	Plasma membrane
AT2G18980	Cell wall / apoplast
AT2G19010	Cell wall / apoplast
AT2G19020	Cell wall / apoplast
AT2G19030	Cell wall / apoplast
AT2G19040	Cell wall / apoplast
AT2G19045	Cell wall / apoplast
AT2G19050	Cell wall / apoplast
AT2G19060	Cell wall / apoplast
AT2G19080	Mitochondrion
AT2G19110	Membrane (unspecified)
AT2G19130	Plasma membrane
AT2G19150	Cell wall / apoplast
AT2G19190	Membrane (unspecified)
AT2G19210	Plasma membrane
AT2G19230	Plasma membrane
AT2G19310	Cytoplasm
AT2G19380	Nucleus
AT2G19430	Nucleus
AT2G19450	Chloroplast
AT2G19470	Cytoplasm
AT2G19480	Nucleus
AT2G19490	Mitochondrion
AT2G19500	Endoplasmic reticulum
AT2G19520	Nucleus
AT2G19560	Nucleus
AT2G19580	Membrane (unspecified)
AT2G19600	Golgi
AT2G19620	Cytoplasm
AT2G19640	Nucleus
AT2G19670	Nucleus
AT2G19690	Cell wall / apoplast
AT2G19720	Mitochondrion
AT2G19730	Cytoplasm
AT2G19760	Cytoplasm
AT2G19770	Cytoplasm
AT2G19790	Golgi
AT2G19800	Cytoplasm
AT2G19830	Other / unknown
AT2G19860	Mitochondrion
AT2G19893	Cell wall / apoplast
AT2G19900	Cytoplasm
AT2G19940	Chloroplast
AT2G19950	Golgi
AT2G20000	Nucleus
AT2G20020	Chloroplast
AT2G20030	Membrane (unspecified)
AT2G20070	Cell wall / apoplast
AT2G20100	Nucleus
AT2G20110	Nucleus
AT2G20120	Membrane (unspecified)
AT2G20130	Membrane (unspecified)
AT2G20140	Cytoplasm
AT2G20160	Nucleus
AT2G20180	Nucleus
AT2G20190/AT2G20200	Cytoplasm
AT2G20208	Cell wall / apoplast
AT2G20230	Membrane (unspecified)
AT2G20260	Chloroplast
AT2G20270	Chloroplast
AT2G20300	Plasma membrane
AT2G20310	Nucleus
AT2G20350	Nucleus
AT2G20360	Mitochondrion
AT2G20370	Golgi
AT2G20400	Nucleus
AT2G20420	Mitochondrion
AT2G20430	Plasma membrane
AT2G20463	Cell wall / apoplast
AT2G20465	Cell wall / apoplast
AT2G20490	Nucleus
AT2G20510	Mitochondrion
AT2G20520	Plasma membrane
AT2G20530	Mitochondrion
AT2G20562	Cell wall / apoplast
AT2G20570	Nucleus
AT2G20580	Nucleus
AT2G20585	Mitochondrion
AT2G20590	Endoplasmic reticulum
AT2G20635	Nucleus
AT2G20650	Membrane (unspecified)
AT2G20660	Cell wall / apoplast
AT2G20680	Cell wall / apoplast
AT2G20700	Plasma membrane
AT2G20710	Mitochondrion
AT2G20740	Membrane (unspecified)
AT2G20750	Cell wall / apoplast
AT2G20760	Cytoplasm
AT2G20780	Membrane (unspecified)
AT2G20790	Cytoplasm
AT2G20800	Mitochondrion
AT2G20810	Golgi
AT2G20825	Cytoplasm
AT2G20830	Golgi
AT2G20840	Plasma membrane
AT2G20850	Membrane (unspecified)
AT2G20860	Mitochondrion
AT2G20870	Cell wall / apoplast
AT2G20875	Cell wall / apoplast
AT2G20880	Nucleus
AT2G20890	Chloroplast
AT2G20990	Plasma membrane
AT2G21045	Mitochondrion
AT2G21050	Plasma membrane
AT2G21060	Cytoplasm
AT2G21100	Cell wall / apoplast
AT2G21110	Cell wall / apoplast
AT2G21120	Plasma membrane
AT2G21130	Cytoplasm
AT2G21140	Cell wall / apoplast
AT2G21150	Nucleus
AT2G21160	Endoplasmic reticulum
AT2G21170	Chloroplast
AT2G21220	Plasma membrane
AT2G21230	Nucleus
AT2G21240	Nucleus
AT2G21270	Nucleus
AT2G21280	Chloroplast
AT2G21290	Mitochondrion
AT2G21320	Nucleus
AT2G21330	Chloroplast
AT2G21340	Chloroplast
AT2G21370	Chloroplast
AT2G21380	Chloroplast
AT2G21390	Cytoplasm
AT2G21400	Nucleus
AT2G21410	Vacuole
AT2G21430	Vacuole
AT2G21465	Cell wall / apoplast
AT2G21470	Nucleus
AT2G21480	Membrane (unspecified)
AT2G21520	Golgi
AT2G21540	Golgi
AT2G21590	Chloroplast
AT2G21600	Membrane (unspecified)
AT2G21610	Membrane (unspecified)
AT2G21630	Cytoplasm
AT2G21650	Nucleus
AT2G21660	Cytoplasm
AT2G21710	Chloroplast
AT2G21725	Cell wall / apoplast
AT2G21740	Cytoplasm
AT2G21750	Cytoplasm
AT2G21770	Plasma membrane
AT2G21790	Cytoplasm
AT2G21800	Nucleus
AT2G21870	Mitochondrion
AT2G21880	Plasma membrane
AT2G21900	Nucleus
AT2G21920	Nucleus
AT2G21940	Chloroplast
AT2G21970	Chloroplast
AT2G22010	Membrane (unspecified)
AT2G22055	Cell wall / apoplast
AT2G22090	Nucleus
AT2G22100	Nucleus
AT2G22121	Cell wall / apoplast
AT2G22125	Plasma membrane
AT2G22140	Nucleus
AT2G22170	Endoplasmic reticulum
AT2G22200	Nucleus
AT2G22240	Cytoplasm
AT2G22250	Chloroplast
AT2G22260	Nucleus
AT2G22290	Golgi
AT2G22300	Nucleus
AT2G22310	Nucleus
AT2G22330	Membrane (unspecified)
AT2G22360	Chloroplast
AT2G22370	Nucleus
AT2G22410	Mitochondrion
AT2G22420	Cell wall / apoplast
AT2G22425	Endoplasmic reticulum
AT2G22430	Nucleus
AT2G22450	Chloroplast
AT2G22470	Plasma membrane
AT2G22480	Chloroplast
AT2G22500	Mitochondrion
AT2G22540	Nucleus
AT2G22630	Nucleus
AT2G22640	Cytoplasm
AT2G22670	Nucleus
AT2G22730	Mitochondrion
AT2G22740	Nucleus
AT2G22750	Nucleus
AT2G22760	Nucleus
AT2G22770	Nucleus
AT2G22780	Peroxisome
AT2G22800	Nucleus
AT2G22805	Cell wall / apoplast
AT2G22807	Cell wall / apoplast
AT2G22830	Mitochondrion
AT2G22840	Nucleus
AT2G22860	Cell wall / apoplast
AT2G22890	Chloroplast
AT2G22900	Golgi
AT2G22910	Chloroplast
AT2G22920	Cell wall / apoplast
AT2G22941	Cell wall / apoplast
AT2G22950	Membrane (unspecified)
AT2G22960	Cell wall / apoplast
AT2G22970	Cell wall / apoplast
AT2G22980	Cell wall / apoplast
AT2G22990	Vacuole
AT2G23000	Cell wall / apoplast
AT2G23010	Cell wall / apoplast
AT2G23050	Plasma membrane
AT2G23070	Chloroplast
AT2G23080	Nucleus
AT2G23096	Endoplasmic reticulum
AT2G23130	Plasma membrane
AT2G23142	Cell wall / apoplast
AT2G23148	Cell wall / apoplast
AT2G23150	Vacuole
AT2G23200	Membrane (unspecified)
AT2G23230	Cytoplasm
AT2G23240	Cytoplasm
AT2G23310	Membrane (unspecified)
AT2G23320	Nucleus
AT2G23340	Nucleus
AT2G23350	Cytoplasm
AT2G23380	Nucleus
AT2G23410	Endoplasmic reticulum
AT2G23430	Nucleus
AT2G23440	Cell wall / apoplast
AT2G23445	Cell wall / apoplast
AT2G23450	Membrane (unspecified)
AT2G23460	Nucleus
AT2G23470	Membrane (unspecified)
AT2G23540	Cell wall / apoplast
AT2G23640	Endoplasmic reticulum
AT2G23680	Plasma membrane
AT2G23740	Nucleus
AT2G23760	Nucleus
AT2G23770	Plasma membrane
AT2G23790	Mitochondrion
AT2G23800	Endoplasmic reticulum
AT2G23810	Membrane (unspecified)
AT2G23930	Nucleus
AT2G23950	Plasma membrane
AT2G23960	Cytoplasm
AT2G23970	Cytoplasm
AT2G23980	Plasma membrane
AT2G23990	Plasma membrane
AT2G24000	Cell wall / apoplast
AT2G24010	Cell wall / apoplast
AT2G24020	Chloroplast
AT2G24040	Membrane (unspecified)
AT2G24060	Chloroplast
AT2G24090	Chloroplast
AT2G24120	Chloroplast
AT2G24130	Plasma membrane
AT2G24150	Membrane (unspecified)
AT2G24170	Membrane (unspecified)
AT2G24180	Membrane (unspecified)
AT2G24195	Plasma membrane
AT2G24200	Cytoplasm
AT2G24210	Chloroplast
AT2G24220	Membrane (unspecified)
AT2G24230	Membrane (unspecified)
AT2G24260	Nucleus
AT2G24270	Cytoplasm
AT2G24300	Nucleus
AT2G24450	Plasma membrane
AT2G24490	Nucleus
AT2G24500	Cytoplasm
AT2G24520	Membrane (unspecified)
AT2G24550	Nucleus
AT2G24560	Cell wall / apoplast
AT2G24570	Nucleus
AT2G24590	Nucleus
AT2G24610	Plasma membrane
AT2G24615	Cell wall / apoplast
AT2G24625	Cell wall / apoplast
AT2G24630	Golgi
AT2G24640	Membrane (unspecified)
AT2G24645	Nucleus
AT2G24650	Nucleus
AT2G24670	Nucleus
AT2G24680	Nucleus
AT2G24681	Nucleus
AT2G24690	Nucleus
AT2G24693	Cell wall / apoplast
AT2G24696	Nucleus
AT2G24700	Nucleus
AT2G24710	Membrane (unspecified)
AT2G24720	Membrane (unspecified)
AT2G24740	Nucleus
AT2G24762	Membrane (unspecified)
AT2G24765	Golgi
AT2G24790	Nucleus
AT2G24800	Cell wall / apoplast
AT2G24820	Chloroplast
AT2G24840	Nucleus
AT2G24940	Nucleus
AT2G25000	Nucleus
AT2G25010	Nucleus
AT2G25060	Plasma membrane
AT2G25080	Chloroplast
AT2G25110	Endoplasmic reticulum
AT2G25140	Mitochondrion
AT2G25170	Nucleus
AT2G25180	Nucleus
AT2G25185	Cell wall / apoplast
AT2G25260	Golgi
AT2G25290	Cytoplasm
AT2G25295	Cell wall / apoplast
AT2G25300	Golgi
AT2G25305	Cell wall / apoplast
AT2G25340	Vacuole
AT2G25344	Cell wall / apoplast
AT2G25350	Cytoplasm
AT2G25410	Membrane (unspecified)
AT2G25430	Membrane (unspecified)
AT2G25440	Plasma membrane
AT2G25470	Plasma membrane
AT2G25480	Cytoplasm
AT2G25490	Nucleus
AT2G25520	Membrane (unspecified)
AT2G25540	Plasma membrane
AT2G25600	Membrane (unspecified)
AT2G25610	Endoplasmic reticulum
AT2G25625	Chloroplast
AT2G25650	Nucleus
AT2G25660	Chloroplast
AT2G25680	Plasma membrane
AT2G25685	Cell wall / apoplast
AT2G25690	Cytoplasm
AT2G25700	Nucleus
AT2G25710	Chloroplast
AT2G25737	Membrane (unspecified)
AT2G25790	Plasma membrane
AT2G25810	Vacuole
AT2G25820	Nucleus
AT2G25840	Chloroplast
AT2G25850	Nucleus
AT2G25870	Chloroplast
AT2G25880	Nucleus
AT2G25930	Nucleus
AT2G25940	Vacuole
AT2G26010	Cell wall / apoplast
AT2G26020	Cell wall / apoplast
AT2G26040	Cytoplasm
AT2G26060	Nucleus
AT2G26070	Endoplasmic reticulum
AT2G26080	Mitochondrion
AT2G26100	Golgi
AT2G26130	Plasma membrane
AT2G26140	Mitochondrion
AT2G26150	Cytoplasm
AT2G26170	Membrane (unspecified)
AT2G26180	Nucleus
AT2G26190	Cytoplasm
AT2G26230	Peroxisome
AT2G26240	Membrane (unspecified)
AT2G26250	Endoplasmic reticulum
AT2G26260	Endoplasmic reticulum
AT2G26290	Plasma membrane
AT2G26300	Plasma membrane
AT2G26310	Chloroplast
AT2G26330	Plasma membrane
AT2G26350	Peroxisome
AT2G26400	Cytoplasm
AT2G26410	Nucleus
AT2G26420	Plasma membrane
AT2G26430	Nucleus
AT2G26440	Cell wall / apoplast
AT2G26450	Membrane (unspecified)
AT2G26460	Nucleus
AT2G26490	Nucleus
AT2G26510	Membrane (unspecified)
AT2G26540	Chloroplast
AT2G26550	Chloroplast
AT2G26560	Cytoplasm
AT2G26570	Cytoplasm
AT2G26580	Nucleus
AT2G26590	Cytoplasm
AT2G26640	Membrane (unspecified)
AT2G26650	Plasma membrane
AT2G26660	Nucleus
AT2G26670	Chloroplast
AT2G26690	Membrane (unspecified)
AT2G26710	Membrane (unspecified)
AT2G26730	Membrane (unspecified)
AT2G26770	Cytoplasm
AT2G26790	Mitochondrion
AT2G26800	Mitochondrion
AT2G26840	Chloroplast
AT2G26870	Cell wall / apoplast
AT2G26890	Membrane (unspecified)
AT2G26900	Membrane (unspecified)
AT2G26910	Plasma membrane
AT2G26930	Chloroplast
