pathway	compartment	sig_events
Plant hormone signal transduction	Nucleus	331
Phenylpropanoid biosynthesis	Cell wall / apoplast	316
Plant hormone signal transduction	Other / unknown	286
Starch and sucrose metabolism	Other / unknown	225
Glutathione metabolism	Cytoplasm	178
Plant-pathogen interaction	Other / unknown	161
Photosynthesis	Chloroplast	158
Plant hormone signal transduction	Plasma membrane	157
Phenylpropanoid biosynthesis	Other / unknown	118
Plant hormone signal transduction	Cytoplasm	113
Plant-pathogen interaction	Membrane (unspecified)	108
Plant-pathogen interaction	Plasma membrane	96
Circadian rhythm - plant	Nucleus	91
Starch and sucrose metabolism	Cell wall / apoplast	87
Carbon fixation (Calvin cycle)	Chloroplast	77
Starch and sucrose metabolism	Chloroplast	75
Photosynthesis - antenna proteins	Chloroplast	68
Glycolysis / Gluconeogenesis	Cytoplasm	63
Glycolysis / Gluconeogenesis	Other / unknown	60
Glycolysis / Gluconeogenesis	Chloroplast	52
Plant-pathogen interaction	Nucleus	49
Carbon fixation (Calvin cycle)	Cytoplasm	48
Flavonoid biosynthesis	Other / unknown	48
Plant hormone signal transduction	Membrane (unspecified)	48
Plant-pathogen interaction	Cytoplasm	45
Plant hormone signal transduction	Cell wall / apoplast	36
Glutathione metabolism	Chloroplast	32
alpha-Linolenic acid (jasmonate) metabolism	Chloroplast	30
Zeatin biosynthesis	Other / unknown	30
Phenylalanine metabolism	Other / unknown	30
alpha-Linolenic acid (jasmonate) metabolism	Peroxisome	29
Plant-pathogen interaction	Endoplasmic reticulum	29
alpha-Linolenic acid (jasmonate) metabolism	Other / unknown	28
Phenylalanine metabolism	Cytoplasm	27
Starch and sucrose metabolism	Cytoplasm	24
Phenylpropanoid biosynthesis	Cytoplasm	22
alpha-Linolenic acid (jasmonate) metabolism	Cytoplasm	20
Starch and sucrose metabolism	Endoplasmic reticulum	18
Glycolysis / Gluconeogenesis	Mitochondrion	16
Plant hormone signal transduction	Endoplasmic reticulum	14
Photosynthesis - antenna proteins	Other / unknown	13
Phenylpropanoid biosynthesis	Membrane (unspecified)	11
Zeatin biosynthesis	Membrane (unspecified)	11
Carbon fixation (Calvin cycle)	Peroxisome	9
Carbon fixation (Calvin cycle)	Other / unknown	9
Starch and sucrose metabolism	Plasma membrane	9
Starch and sucrose metabolism	Membrane (unspecified)	9
Phenylalanine metabolism	Cell wall / apoplast	9
Zeatin biosynthesis	Cell wall / apoplast	9
Plant-pathogen interaction	Vacuole	8
Circadian rhythm - plant	Cytoplasm	8
Glutathione metabolism	Nucleus	8
Starch and sucrose metabolism	Mitochondrion	7
Zeatin biosynthesis	Chloroplast	7
Plant-pathogen interaction	Mitochondrion	7
Plant-pathogen interaction	Chloroplast	7
Circadian rhythm - plant	Other / unknown	7
Phenylalanine metabolism	Peroxisome	7
Plant hormone signal transduction	Golgi	6
Starch and sucrose metabolism	Vacuole	6
Glutathione metabolism	Other / unknown	6
Glutathione metabolism	Peroxisome	6
Flavonoid biosynthesis	Cytoplasm	6
Zeatin biosynthesis	Cytoplasm	4
Zeatin biosynthesis	Mitochondrion	4
Glutathione metabolism	Mitochondrion	4
Photosynthesis	Other / unknown	4
Plant hormone signal transduction	Chloroplast	4
Phenylpropanoid biosynthesis	Peroxisome	3
Phenylpropanoid biosynthesis	Nucleus	3
Flavonoid biosynthesis	Membrane (unspecified)	3
Glutathione metabolism	Cell wall / apoplast	3
Phenylalanine metabolism	Chloroplast	3
Carbon fixation (Calvin cycle)	Mitochondrion	3
Flavonoid biosynthesis	Endoplasmic reticulum	3
Zeatin biosynthesis	Vacuole	3
Plant-pathogen interaction	Cell wall / apoplast	3
Starch and sucrose metabolism	Peroxisome	2
Phenylpropanoid biosynthesis	Plasma membrane	2
Phenylpropanoid biosynthesis	Vacuole	2
alpha-Linolenic acid (jasmonate) metabolism	Cell wall / apoplast	2
Glycolysis / Gluconeogenesis	Peroxisome	2
Photosynthesis	Mitochondrion	2
alpha-Linolenic acid (jasmonate) metabolism	Membrane (unspecified)	2
Zeatin biosynthesis	Endoplasmic reticulum	2
Glycolysis / Gluconeogenesis	Cell wall / apoplast	1
Glutathione metabolism	Plasma membrane	1
Phenylpropanoid biosynthesis	Endoplasmic reticulum	1
Plant hormone signal transduction	Peroxisome	1
Plant-pathogen interaction	Peroxisome	1
