compartment	mean_pct_DE	mean_enrichment
Cell wall / apoplast	14.8	2.06
Plasma membrane	10.9	1.35
Membrane	10.1	1.28
Chloroplast	8.2	0.84
Vacuole	7.6	0.94
Nucleus	7.4	0.89
Cytoplasm	6.9	0.81
Peroxisome	6.3	0.90
Endoplasmic reticulum	6.1	0.68
Golgi	5.5	0.63
Mitochondrion	4.5	0.45
