accession,organism,kegg_org,assay,title,factors,release
OSD-120,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq)     Photography,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,Ecotype     Spaceflight     Treatment,1496880000.0
OSD-193,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),"During development, the Sku6 mutant roots engage different genes than wild type Col-0 roots, either on the ground or in spaceflight",Time     Genotype     Spaceflight,1519862400.0
OSD-208,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq)     DNA microarray,Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,Tissue,1540771200.0
OSD-217,Arabidopsis thaliana,ath,Whole Genome Bisulfite Sequencing     RNA Sequencing (RNA-Seq),Characterization of Epigenetic Regulation in an Extraterrestrial Environment: The Arabidopsis Spaceflight Methylome,Spaceflight     Organism Part,1553040000.0
OSD-218,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Plant development on ISS differs from the development on the ground and is influenced by the genetic background,Age     Spaceflight     Cultivar,1519430400.0
OSD-223,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),The effect of spaceflight on transgenic Arabidopsis plants with compromised signaling,Spaceflight     Genotype     Organism Part     Altered Gravity,1561593600.0
OSD-251,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,Spaceflight     Altered Gravity,1571875200.0
OSD-281,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),"During development, the Sku5 mutant roots engage different genes than wild type WS roots, either on the ground or in spaceflight.",Spaceflight     Age     Genotype,1583020800.0
OSD-313,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Dissecting transcriptional responses of nucleolin mutants to red light stimulation and darkness in ground reference conditions,Genotype     Treatment,1603324800.0
OSD-314,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Adaptive response of Arabidopsis seedlings in microgravity and Mars reduced gravity environment is enhanced by red light photostimulation,Spaceflight     Altered Gravity     Light,1611100800.0
OSD-321,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Relevance of Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,Spaceflight     Genotype,1610150400.0
OSD-346,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),"RNAseq analysis of the response of Arabidopsis thaliana phytochrome mutants (PhyA, PhyB) to fractional gravity under blue-light stimulation during spaceflight",Genotype     Spaceflight     Altered Gravity     Treatment,1606176000.0
OSD-37,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Comparison of the spaceflight transcriptome of four commonly used Arabidopsis thaliana ecotypes,Spaceflight     Ecotype,1446336000.0
OSD-38,Arabidopsis thaliana,ath,mass spectrometry     RNA Sequencing (RNA-Seq),Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Spaceflight     Sample Preservation Method,0
OSD-406,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Transcriptomic responses of Arabidopsis thaliana lines WS and sku5 to the Blue Origin NS-12 and Virgin Galactic VP-03 suborbital flights,Spacecraft     Altered Gravity     Ecotype     Genotype,1617235200.0
OSD-411,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Plant Gravity Perception: Pilot (PGP Pilot),Genotype     Organism Part     Treatment,1650412800.0
OSD-427,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Characterizing Epigenetic Changes in Methylation Mutants (elp2-5 and met1-7) in Response to Spaceflight. [RNA-Seq],Spaceflight     Genotype     Organism part,1628812800.0
OSD-437,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Transcriptional and Post transcriptional Regulation of Seedling Development in Microgravity,Age     Altered Gravity     Spaceflight,1665014400.0
OSD-476,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq)     Image analysis,Plants grown in Apollo lunar regolith present stress-associated transcriptomes that inform prospects for lunar exploration,Treatment,1652659200.0
OSD-480,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Plant Gravity Perception (PGP) Flight Study,Organism Part     Altered Gravity     Genotype     Spaceflight     Treatment,1650499200.0
OSD-498,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),The SOG1 transcriptional activator and the MYB3R family of repressors control a complex gene network in response to DNA damage in Arabidopsis [RNA-seq gIR vs mock wt],Time of Sample Collection after Treatment     Ionizing Radiation,1541376000.0
OSD-502,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),The SOG1 transcriptional activator and the MYB3R family of repressors control a complex gene network in response to DNA damage in Arabidopsis [RNA-seq myb3r135 vs wt],Genotype     Ionizing Radiation,1542240000.0
OSD-508,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),The SOG1 transcriptional activator and the MYB3R family of repressors control a complex gene network in response to DNA damage in Arabidopsis [RNA-seq t vs t0],Ionizing Radiation     Time of Sample Collection After Treatment     Genotype,1542240000.0
OSD-510,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),The SOG1 transcriptional activator and the MYB3R family of repressors control a complex gene network in response to DNA damage in Arabidopsis [RNA-seq DREMmodel],Ionizing Radiation     Time of Sample Collection After Treatment     Genotype,1542240000.0
OSD-518,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Opposing influences of TAC1 and LAZY1 on Lateral Shoot Orientation in Arabidopsis,Genotype     Treatment,1584748800.0
OSD-519,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),PUCHI represses early meristem formation in developing lateral roots of Arabidopsis thaliana,Genotype     Organism Part     Treatment     Time,1648166400.0
OSD-522,Arabidopsis thaliana,ath,mass spectrometry     RNA Sequencing (RNA-Seq),Integrative Transcriptomics and Proteomics Profiling of Arabidopsis thaliana Elucidates Novel Mechanisms Underlying Spaceflight Adaptation,Organism Part     Spaceflight,1709510400.0
OSD-565,Arabidopsis thaliana,ath,RNA Sequencing (RNA-Seq),Utilizing the KSC Fixation Tube to Conduct Human-Tended Plant Biology Experiments on a Suborbital Spaceflight,Treatment     Organism Part     Microgravity Simulation,1664841600.0
