id:ID,label:LABEL,name
G:AT2G38380,Gene,AT2G38380
G:AT2G38390,Gene,AT2G38390
G:AT3G21560,Gene,AT3G21560
G:AT4G15500,Gene,AT4G15500
G:AT5G15180,Gene,AT5G15180
G:AT5G26310,Gene,AT5G26310
G:AT1G80100,Gene,AT1G80100
G:AT4G14550,Gene,AT4G14550
G:AT3G62100,Gene,AT3G62100
G:AT4G34770,Gene,AT4G34770
G:AT1G29510,Gene,AT1G29510
G:AT2G22860,Gene,AT2G22860
G:AT5G45870,Gene,AT5G45870
G:AT4G00050,Gene,AT4G00050
G:AT3G59060,Gene,AT3G59060
G:AT5G59220,Gene,AT5G59220
G:AT2G41070,Gene,AT2G41070
G:AT1G32640,Gene,AT1G32640
G:AT5G10990,Gene,AT5G10990
G:AT3G57530,Gene,AT3G57530
G:AT1G16510,Gene,AT1G16510
G:AT1G74890,Gene,AT1G74890
G:AT4G36110,Gene,AT4G36110
P:ath04626,Pathway,Plant-pathogen interaction
G:AT1G09090,Gene,AT1G09090
G:AT4G34250,Gene,AT4G34250
G:AT1G04220,Gene,AT1G04220
G:AT2G46790,Gene,AT2G46790
G:AT5G62430,Gene,AT5G62430
P:ath00480,Pathway,Glutathione metabolism
G:AT1G10370,Gene,AT1G10370
G:AT5G02780,Gene,AT5G02780
G:AT1G17180,Gene,AT1G17180
G:AT3G62760,Gene,AT3G62760
G:AT2G29460,Gene,AT2G29460
G:AT4G31290,Gene,AT4G31290
S:OSD-208,Study,OSD-208
G:AT4G32840,Gene,AT4G32840
G:AT5G52920,Gene,AT5G52920
G:AT1G47840,Gene,AT1G47840
G:AT3G61610,Gene,AT3G61610
G:AT5G51820,Gene,AT5G51820
G:AT3G22960,Gene,AT3G22960
G:AT1G01090,Gene,AT1G01090
G:AT1G30120,Gene,AT1G30120
G:AT4G29220,Gene,AT4G29220
G:AT1G22430,Gene,AT1G22430
G:AT5G64380,Gene,AT5G64380
G:AT3G01260,Gene,AT3G01260
G:AT4G04040,Gene,AT4G04040
G:AT1G50460,Gene,AT1G50460
G:AT1G09870,Gene,AT1G09870
G:AT3G54050,Gene,AT3G54050
G:AT1G23190,Gene,AT1G23190
G:AT4G38970,Gene,AT4G38970
G:AT1G16300,Gene,AT1G16300
G:AT5G24760,Gene,AT5G24760
G:AT3G66658,Gene,AT3G66658
G:AT5G42740,Gene,AT5G42740
G:AT3G16950,Gene,AT3G16950
G:AT2G19860,Gene,AT2G19860
G:AT3G25860,Gene,AT3G25860
G:AT3G04050,Gene,AT3G04050
G:AT5G65690,Gene,AT5G65690
G:AT1G44170,Gene,AT1G44170
G:AT2G37790,Gene,AT2G37790
G:AT4G37870,Gene,AT4G37870
G:AT4G34240,Gene,AT4G34240
G:AT2G36460,Gene,AT2G36460
G:AT4G36250,Gene,AT4G36250
G:AT3G48000,Gene,AT3G48000
G:AT1G34430,Gene,AT1G34430
G:AT3G20040,Gene,AT3G20040
G:AT4G16155,Gene,AT4G16155
G:AT3G47800,Gene,AT3G47800
G:AT1G78050,Gene,AT1G78050
P:ath00195,Pathway,Photosynthesis
G:AT3G16140,Gene,AT3G16140
G:AT1G03600,Gene,AT1G03600
G:AT4G28750,Gene,AT4G28750
G:AT1G08380,Gene,AT1G08380
G:AT1G60950,Gene,AT1G60950
G:AT5G45040,Gene,AT5G45040
G:AT4G12800,Gene,AT4G12800
G:AT1G20340,Gene,AT1G20340
G:AT1G06680,Gene,AT1G06680
G:AT1G30380,Gene,AT1G30380
G:AT3G50820,Gene,AT3G50820
G:AT1G20020,Gene,AT1G20020
G:AT4G04640,Gene,AT4G04640
G:AT4G03280,Gene,AT4G03280
G:AT1G55670,Gene,AT1G55670
G:AT5G66570,Gene,AT5G66570
G:AT2G30570,Gene,AT2G30570
G:AT1G79040,Gene,AT1G79040
G:AT2G20260,Gene,AT2G20260
G:AT1G67740,Gene,AT1G67740
G:AT4G02770,Gene,AT4G02770
G:AT5G64040,Gene,AT5G64040
G:AT4G21280,Gene,AT4G21280
G:AT4G05180,Gene,AT4G05180
G:AT1G31330,Gene,AT1G31330
G:AT5G66190,Gene,AT5G66190
P:ath00196,Pathway,Photosynthesis - antenna proteins
G:AT1G15820,Gene,AT1G15820
G:AT1G29930,Gene,AT1G29930
G:AT5G54270,Gene,AT5G54270
G:AT3G47470,Gene,AT3G47470
G:AT4G10340,Gene,AT4G10340
G:AT2G05100,Gene,AT2G05100
G:AT1G29920,Gene,AT1G29920
G:AT5G01530,Gene,AT5G01530
G:AT1G61520,Gene,AT1G61520
G:AT3G61470,Gene,AT3G61470
G:AT2G40100,Gene,AT2G40100
G:AT2G34420,Gene,AT2G34420
G:AT3G54890,Gene,AT3G54890
G:AT2G34430,Gene,AT2G34430
G:AT1G29910,Gene,AT1G29910
P:ath00710,Pathway,Carbon fixation (Calvin cycle)
G:AT5G58330,Gene,AT5G58330
G:AT5G43330,Gene,AT5G43330
G:AT1G23310,Gene,AT1G23310
G:AT1G71100,Gene,AT1G71100
G:AT1G62800,Gene,AT1G62800
G:AT1G12900,Gene,AT1G12900
G:AT5G61410,Gene,AT5G61410
G:AT5G25880,Gene,AT5G25880
G:AT5G38410,Gene,AT5G38410
G:AT3G14940,Gene,AT3G14940
G:AT5G38420,Gene,AT5G38420
G:AT1G70580,Gene,AT1G70580
G:AT2G01290,Gene,AT2G01290
G:AT5G11670,Gene,AT5G11670
G:AT1G67090,Gene,AT1G67090
G:AT2G45290,Gene,AT2G45290
G:AT1G12230,Gene,AT1G12230
G:AT5G37180,Gene,AT5G37180
G:AT3G52340,Gene,AT3G52340
G:AT4G39770,Gene,AT4G39770
G:AT5G48300,Gene,AT5G48300
G:AT3G46970,Gene,AT3G46970
G:AT5G04885,Gene,AT5G04885
G:AT3G47040,Gene,AT3G47040
G:AT4G10120,Gene,AT4G10120
G:AT5G36890,Gene,AT5G36890
G:AT1G22650,Gene,AT1G22650
G:AT1G66250,Gene,AT1G66250
G:AT4G00490,Gene,AT4G00490
G:AT1G06020,Gene,AT1G06020
G:AT3G47000,Gene,AT3G47000
G:AT1G48930,Gene,AT1G48930
G:AT2G01630,Gene,AT2G01630
G:AT5G65140,Gene,AT5G65140
G:AT2G21590,Gene,AT2G21590
G:AT2G44450,Gene,AT2G44450
G:AT4G27830,Gene,AT4G27830
G:AT4G39210,Gene,AT4G39210
G:AT2G40840,Gene,AT2G40840
G:AT1G23870,Gene,AT1G23870
G:AT4G11050,Gene,AT4G11050
G:AT1G61820,Gene,AT1G61820
G:AT1G65610,Gene,AT1G65610
G:AT4G12430,Gene,AT4G12430
G:AT5G64860,Gene,AT5G64860
G:AT1G22880,Gene,AT1G22880
G:AT2G44480,Gene,AT2G44480
G:AT5G11110,Gene,AT5G11110
G:AT1G11820,Gene,AT1G11820
G:AT4G39010,Gene,AT4G39010
G:AT4G31140,Gene,AT4G31140
G:AT3G59480,Gene,AT3G59480
G:AT1G78090,Gene,AT1G78090
G:AT4G22590,Gene,AT4G22590
G:AT3G20440,Gene,AT3G20440
G:AT5G19220,Gene,AT5G19220
G:AT3G13784,Gene,AT3G13784
G:AT3G29320,Gene,AT3G29320
G:AT1G60140,Gene,AT1G60140
G:AT1G71380,Gene,AT1G71380
G:AT1G32900,Gene,AT1G32900
G:AT5G20280,Gene,AT5G20280
G:AT1G78580,Gene,AT1G78580
G:AT1G69830,Gene,AT1G69830
G:AT1G11720,Gene,AT1G11720
G:AT1G70710,Gene,AT1G70710
G:AT1G62660,Gene,AT1G62660
G:AT4G09020,Gene,AT4G09020
G:AT1G27680,Gene,AT1G27680
G:AT2G44490,Gene,AT2G44490
G:AT1G35910,Gene,AT1G35910
G:AT4G24260,Gene,AT4G24260
G:AT5G20950,Gene,AT5G20950
G:AT1G51420,Gene,AT1G51420
G:AT4G39000,Gene,AT4G39000
G:AT5G49720,Gene,AT5G49720
G:AT1G66430,Gene,AT1G66430
G:AT1G51680,Gene,AT1G51680
G:AT4G33420,Gene,AT4G33420
G:AT1G80820,Gene,AT1G80820
G:AT3G55180,Gene,AT3G55180
G:AT4G08770,Gene,AT4G08770
G:AT4G26010,Gene,AT4G26010
G:AT5G57840,Gene,AT5G57840
G:AT3G21230,Gene,AT3G21230
G:AT5G24070,Gene,AT5G24070
G:AT5G51890,Gene,AT5G51890
G:AT4G37530,Gene,AT4G37530
G:AT3G21770,Gene,AT3G21770
G:AT2G30490,Gene,AT2G30490
G:AT3G49120,Gene,AT3G49120
G:AT4G34230,Gene,AT4G34230
G:AT2G40890,Gene,AT2G40890
G:AT2G39420,Gene,AT2G39420
G:AT1G44970,Gene,AT1G44970
G:AT2G18150,Gene,AT2G18150
G:AT3G01190,Gene,AT3G01190
G:AT5G54160,Gene,AT5G54160
G:AT3G19450,Gene,AT3G19450
G:AT4G30170,Gene,AT4G30170
G:AT4G16270,Gene,AT4G16270
G:AT5G22410,Gene,AT5G22410
G:AT4G19010,Gene,AT4G19010
G:AT2G47630,Gene,AT2G47630
G:AT2G34060,Gene,AT2G34060
G:AT3G21240,Gene,AT3G21240
G:AT2G22990,Gene,AT2G22990
G:AT5G66690,Gene,AT5G66690
G:AT2G39040,Gene,AT2G39040
G:AT5G64120,Gene,AT5G64120
G:AT1G30760,Gene,AT1G30760
G:AT1G05250,Gene,AT1G05250
G:AT4G26220,Gene,AT4G26220
G:AT4G37970,Gene,AT4G37970
G:AT3G53260,Gene,AT3G53260
G:AT3G10340,Gene,AT3G10340
G:AT1G14540,Gene,AT1G14540
G:AT4G37520,Gene,AT4G37520
G:AT1G14550,Gene,AT1G14550
G:AT2G37130,Gene,AT2G37130
G:AT4G34050,Gene,AT4G34050
G:AT1G52760,Gene,AT1G52760
G:AT5G04330,Gene,AT5G04330
G:AT1G74550,Gene,AT1G74550
G:AT1G72680,Gene,AT1G72680
G:AT1G24735,Gene,AT1G24735
G:AT5G48930,Gene,AT5G48930
G:AT2G34790,Gene,AT2G34790
G:AT3G49960,Gene,AT3G49960
G:AT5G64100,Gene,AT5G64100
G:AT4G11290,Gene,AT4G11290
G:AT5G39580,Gene,AT5G39580
G:AT1G15950,Gene,AT1G15950
G:AT4G05160,Gene,AT4G05160
G:AT5G06730,Gene,AT5G06730
G:AT5G67400,Gene,AT5G67400
G:AT2G43480,Gene,AT2G43480
G:AT3G62860,Gene,AT3G62860
G:AT3G50740,Gene,AT3G50740
G:AT2G22420,Gene,AT2G22420
G:AT5G17820,Gene,AT5G17820
G:AT1G34510,Gene,AT1G34510
G:AT1G30870,Gene,AT1G30870
G:AT4G36430,Gene,AT4G36430
P:ath00941,Pathway,Flavonoid biosynthesis
G:AT5G63600,Gene,AT5G63600
G:AT5G63595,Gene,AT5G63595
G:AT5G63590,Gene,AT5G63590
P:ath00592,Pathway,alpha-Linolenic acid (jasmonate) metabolism
G:AT1G76690,Gene,AT1G76690
G:AT1G20490,Gene,AT1G20490
G:AT1G20480,Gene,AT1G20480
G:AT1G19640,Gene,AT1G19640
G:AT3G57140,Gene,AT3G57140
G:AT3G01420,Gene,AT3G01420
G:AT1G67560,Gene,AT1G67560
G:AT3G06690,Gene,AT3G06690
G:AT1G04710,Gene,AT1G04710
G:AT2G06925,Gene,AT2G06925
G:AT5G42650,Gene,AT5G42650
G:AT3G25770,Gene,AT3G25770
G:AT1G73680,Gene,AT1G73680
G:AT3G25760,Gene,AT3G25760
G:AT1G72520,Gene,AT1G72520
G:AT4G19860,Gene,AT4G19860
G:AT2G06050,Gene,AT2G06050
G:AT4G16760,Gene,AT4G16760
G:AT5G04040,Gene,AT5G04040
G:AT4G13010,Gene,AT4G13010
G:AT5G65110,Gene,AT5G65110
G:AT1G76680,Gene,AT1G76680
G:AT5G48880,Gene,AT5G48880
G:AT1G06310,Gene,AT1G06310
P:ath00908,Pathway,Zeatin biosynthesis
G:AT5G19040,Gene,AT5G19040
G:AT5G21482,Gene,AT5G21482
G:AT1G67110,Gene,AT1G67110
G:AT3G63110,Gene,AT3G63110
G:AT5G38450,Gene,AT5G38450
G:AT3G23630,Gene,AT3G23630
G:AT5G20040,Gene,AT5G20040
G:AT5G05870,Gene,AT5G05870
G:AT1G22400,Gene,AT1G22400
G:AT1G22360,Gene,AT1G22360
G:AT1G67710,Gene,AT1G67710
G:AT1G04250,Gene,AT1G04250
G:AT5G12480,Gene,AT5G12480
G:AT3G63010,Gene,AT3G63010
G:AT4G33430,Gene,AT4G33430
G:AT5G13360,Gene,AT5G13360
G:AT4G18710,Gene,AT4G18710
G:AT1G04240,Gene,AT1G04240
G:AT5G10030,Gene,AT5G10030
G:AT2G01760,Gene,AT2G01760
G:AT5G01240,Gene,AT5G01240
G:AT5G37020,Gene,AT5G37020
G:AT1G59750,Gene,AT1G59750
G:AT1G75590,Gene,AT1G75590
G:AT1G29430,Gene,AT1G29430
G:AT5G20730,Gene,AT5G20730
G:AT2G41370,Gene,AT2G41370
G:AT2G21050,Gene,AT2G21050
G:AT5G08590,Gene,AT5G08590
G:AT1G51950,Gene,AT1G51950
G:AT1G78290,Gene,AT1G78290
G:AT3G56760,Gene,AT3G56760
G:AT2G40330,Gene,AT2G40330
G:AT2G27050,Gene,AT2G27050
G:AT3G04730,Gene,AT3G04730
G:AT1G23160,Gene,AT1G23160
G:AT4G34810,Gene,AT4G34810
G:AT5G20900,Gene,AT5G20900
G:AT5G25890,Gene,AT5G25890
G:AT1G19180,Gene,AT1G19180
G:AT2G14960,Gene,AT2G14960
G:AT3G15540,Gene,AT3G15540
G:AT3G23030,Gene,AT3G23030
G:AT4G38860,Gene,AT4G38860
